,0,1,2,3,4,5
1067,,,,24 WESTGATE PKWY.,ASHEVILLE,NC 28806
1068,,,,523 S. MAIN ST,BISHOPVILLE,SC 29010
1069,,,,1008 LAKE MURRAY BOULEVARD,IRMO,SC 29063
1070,,,,5608 SUNSET BLVD.,LEXINGTON,SC 29072
1071,,,,423 W MAIN ST,LEXINGTON,SC 29072
1072,,,,1278 NORTH LAFAYETTE DRIVE,SUMTER,SC 29150
1073,,,,1000 BROAD ST,SUMTER,SC 29150
1074,,,,370 RHODES AVENUE,SHAW AFB,SC 29152
1075,,,420 POLIFKA DRIVE,ATTN: LOGISTICS,SHAW AFB,SC 29152
1076,,,,3685-A LEAPHART ROAD,WEST COLUMBIA,SC 29169
1077,,,,27 US HIGHWAY 321 BYPASS S,WINNSBORO,SC 29180
1078,,,,2571 FOREST DRIVE,COLUMBIA,SC 29204
1079,,,,4711-5 FOREST DRIVE,COLUMBIA,SC 29206
1080,,,,BUILDING 4500 STUART STREET,FORT JACKSON,SC 29207
1081,,,,4110 MOSBY STREET,FORT JACKSON,SC 29207
1082,,,LIMITED TO OFFICIAL UNIVERSITY DUTIES ONLY,1401 DEVINE STREET,COLUMBIA,SC 29208
1083,,,,2397 REIDVILLE ROAD,SPARTANBURG,SC 29301
1084,,,2397 REIDVILLE ROAD,,SPARTANBURG,SC 29301
1085,,,,2410 REIDVILLE ROAD,SPARTANBURG,SC 29301
1086,,,,3681 BOILING SPRINGS ROAD,BOILING SPRINGS,SC 29316
1087,,,,11211 ASHEVILLE HWY.,INMAN,SC 29349
1088,,,628 MED GROUP/SGSM,204 W. HILL BLVD. BLDG. 364,JOINT BASE CHARLESTON,SC 29404
1089,,,,65 SYCAMORE AVE,CHARLESTON,SC 29407
1090,,,,5215 ASHLEY PHOSPHATE RD.,NORTH CHARLESTON,SC 29418
1091,,,,110 NNPTC CIRCLE,GOOSE CREEK,SC 29445
1092,,,421 JOHNNIE DODDS BOULEVARD,FIRST FLOOR,MOUNT PLEASANT,SC 29464
1093,,,,301 N MAIN ST,SUMMERVILLE,SC 29483
1094,,,,1120 N MAIN STREET,SUMMERVILLE,SC 29483
1095,,,,733 S. IRBY ST.,FLORENCE,SC 29501
1096,,,,3210 E PALMETTO ST,FLORENCE,SC 29506
1097,,,,901 MARKET ST.,CHERAW,SC 29520
1098,,,,1601 CHURCH STREET,CONWAY,SC 29526
1099,,,,3579 HWY 17 BUSINESS,MURRELLS INLET,SC 29576
1100,,,,1303 38TH AVE. N.,MYRTLE BEACH,SC 29577
1101,,,,4036 RIVER OAKS DRIVE UNIT B-1,MYRTLE BEACH,SC 29579
1102,,,5405 DICK POND ROAD,UNIT C - 1,MYRTLE BEACH,SC 29588
1103,,3072 DICK POND ROAD,HWY 544,SUITE 2,MYRTLE BEACH,SC 29588
1104,,,,718 MILLS AVENUE,GREENVILLE,SC 29605
1105,,,,3218 W BLUE RIDGE DR,GREENVILLE,SC 29611
1106,,,,2401 E NORTH ST,GREENVILLE,SC 29615
1107,,,,2814 N MAIN ST.,ANDERSON,SC 29621
1108,,,,2811 N MAIN ST,ANDERSON,SC 29621
1109,,,LIMITED TO OFFICIAL UNIVERSITY DUTIES ONLY,735 MCMILLAN ROAD,CLEMSON,SC 29634
1110,,,,2446 HUDSON RD,GREER,SC 29650
1111,,,,698 FAIRVIEW ROAD,SIMPSONVILLE,SC 29680
1112,,,725 CHERRY ROAD,SUITE 103,ROCK HILL,SC 29732
1113,,,,2707 CELANESE RD.,ROCK HILL,SC 29732
1114,,,PO BOX 366,1275 ALLENDALE-FAIRFAX HWY,FAIRFAX,SC 29827
1115,,,ATTENTION: PHARMACY DEPARTMENT,1 PINCKNEY BOULEVARD,BEAUFORT,SC 29902
1116,,,,138 OKATIE CENTER BLVD S,OKATIE,SC 29909
1117,,,,810 ELM STREET EAST,HAMPTON,SC 29924
1118,,,7752 WEST MAIN STREET,P.O. BOX 2188,RIDGELAND,SC 29936
1119,,,,1541 GEORGIA HIGHWAY 20,CONYERS,GA 30012
1120,,,,1510 MILSTEAD AVE NE,CONYERS,GA 30012
1121,,,,4183 HWY 278 NE,COVINGTON,GA 30014
1122,,,,2738 NORTH DECATUR ROAD,DECATUR,GA 30033
1123,,,MEDICAL CENTER PHARMACY,8011 MALL PARKWAY,LITHONIA,GA 30038
1124,,,,1400 NORTHSIDE FORSYTH DR. SUITE 350,CUMMING,GA 30041
1125,,,,2990 FIVE FORKS TRICKUM RD,LAWRENCEVILLE,GA 30044
1126,,,,620 WEST PIKE STREET,LAWRENCEVILLE,GA 30046
1127,,,,4398 ATLANTA HWY,LOGANVILLE,GA 30052
1128,,,PANOLA MEDICAL OFFICE PHARMACY,5440 HILLANDALE DRIVE,LITHONIA,GA 30058
1129,,,,2464 ROSWELL RD.,MARIETTA,GA 30062
1130,,,1275 POWERS FERRY RD SE,SUITE 170,MARIETTA,GA 30067
1131,,,,2670 COBB PARKWAY SE,SMYRNA,GA 30080
1132,,,,5320 MEMORIAL DR,STONE MOUNTAIN,GA 30083
1133,,,CRESCENT CENTRE CENTRAL PHCY,200 CRESCENT CENTRE PARKWAY,TUCKER,GA 30084
1134,,,,2338 MAIN ST,TUCKER,GA 30084
1135,,,,5985 PEACHTREE PKWY,NORCROSS,GA 30092
1136,,,,3650 STEVE REYNOLDS BLVD,DULUTH,GA 30096
1137,,,4769 S. MAIN STREET,SUITE A,ACWORTH,GA 30101
1138,,,3640 TRAMORE POINT PARKWAY,ATTN: PHARMACY,AUSTELL,GA 30106
1139,,,,4120 AUSTELL RD,AUSTELL,GA 30106
1140,,,,100 OAK ST,BOWDON,GA 30108
1141,,,,120 MARIETTA HIGHWAY,CANTON,GA 30114
1142,,,,794 SOUTH PARK ST,CARROLLTON,GA 30117
1143,,,,965 JOE FRANK HARRIS PKWY SE,CARTERSVILLE,GA 30120
1144,,,,2 WEST MAIN STREET,CARTERSVILLE,GA 30120
1145,,,,8446 CAMPBELLTON ST,DOUGLASVILLE,GA 30134
1146,,,3697 HWY 5,SUITE 6,DOUGLASVILLE,GA 30135
1147,,,TOWNPARK MEDICAL OFFICE PHCY,750 TOWNPARK LANE,KENNESAW,GA 30144
1148,,,,2782 NORTH COBB PARKWAY,KENNESAW,GA 30152
1149,,,,2779 N COBB PARKWAY,KENNESAW,GA 30152
1150,,,,495 CHARLES HARDY PKWY,DALLAS,GA 30157
1151,,,,1905 MARTHA BERRY BLVD,ROME,GA 30165
1152,,,,701 MARTHA BERRY BLVD NW,ROME,GA 30165
1153,,,,736 HWY 78 WEST,VILLA RICA,GA 30180
1154,,,,1600 TOWN LAKE PARKWAY,WOODSTOCK,GA 30189
1155,,,,300 MORGAN STREET,LA GRANGE,GA 30241
1156,,,1665 HIGHWAY 34E,SUITE 100,NEWNAN,GA 30265
1157,,,,22 UPPER RIVERDALE ROAD,RIVERDALE,GA 30274
1158,,,,1855 HUDSON BRIDGE RD,STOCKBRIDGE,GA 30281
1159,,,,634 N. CHURCH STREET,THOMASTON,GA 30286
1160,,,895 RALPH ABERNATHY BLVD.,SW,ATLANTA,GA 30310
1161,,,,1 COCA COLA PLZ NW,ATLANTA,GA 30313
1162,,,,1858 CHESHIRE BRIDGE ROAD NE,ATLANTA,GA 30324
1163,,,GLENLAKE MEDICAL OFFICE PHCY.,20 GLENLAKE PARKWAY,ATLANTA,GA 30328
1164,,,,2830 N. DRUID HILLS RD. NE,ATLANTA,GA 30329
1165,,,,3740 CASCADE RD SW,ATLANTA,GA 30331
1166,,,,3800 PRINCETON LAKES PKWY SW,ATLANTA,GA 30331
1167,,,CUMBERLAND MED OFFICE PHARMACY,2525 CUMBERLAND PARKWAY,ATLANTA,GA 30339
1168,,,,1100 LAKE HEARN DRIVE NE,ATLANTA,GA 30342
1169,,,,7530 ROSWELL RD,ATLANTA,GA 30350
1170,,,,705 SOUTH LEWIS STREET,METTER,GA 30439
1171,,,,804 SECOND STREET,SOPERTON,GA 30457
1172,,ALLMOND & WHIPPLE,INC,1704 MEADOWS LANE,VIDALIA,GA 30474
1173,,,,103 JESSE JEWEL PARKWAY,GAINESVILLE,GA 30501
1174,,,,935 GREEN ST,GAINESVILLE,GA 30501
1175,,,MEDICAL CENTER PHARMACY,1435 BROADMOOR BOULEVARD,SUGAR HILL,GA 30518
1176,,,,55 CARLTON STREET,ATHENS,GA 30602
1177,,,2142 W. BROAD STREET,BUILDING 200,ATHENS,GA 30606
1178,,,,635 COOK STREET,ROYSTON,GA 30662
1179,,,,10 EAST MAY STREET,WINDER,GA 30680
1180,,,,887 BATTLEFIELD PARKWAY,FT OGLETHORPE,GA 30742
1181,,,,1228 BATTLEFIELD PKWY,FT OGLETHORPE,GA 30742
1182,,,,898 HORIZON SOUTH PKWY,GROVETOWN,GA 30813
1183,,,,1520 WALTON WAY,AUGUSTA,GA 30904
1184,,,29709 B STREET,BUILDING T ROOM 104,AUGUSTA,GA 30905
1185,,,35200 3 RD AVE,BUILDING 38200,FORT GORDON,GA 30905
1186,,,,2604 PEACH ORCHARD RD,AUGUSTA,GA 30906
1187,,,,2902 PEACH ORCHARD ROAD,AUGUSTA,GA 30906
1188,,,,3204 PEACH ORCHARD ROAD,AUGUSTA,GA 30906
1189,,,,4315 BELAIR FRONTAGE ROAD,AUGUSTA,GA 30909
1190,,,1120 15TH STREET,ROOM BI-2101,AUGUSTA,GA 30912
1191,,,,507 INDUSTRIAL BLVD,DUBLIN,GA 31021
1192,,,SUITE A,PO BOX 997,HAWKINSVILLE,GA 31036
1193,,,,1081 GA HIGHWAY 96,WARNER ROBINS,GA 31088
1194,,,,102 RUSSELL PKWY,WARNER ROBINS,GA 31088
1195,,,,1880 WATSON BLVD,WARNER ROBINS,GA 31093
1196,,,,655 7TH ST BLDG 700,ROBINS AFB,GA 31098
1197,,,,1271 GRAY HIGHWAY,MACON,GA 31211
1198,,,,1280 GRAY HWY,MACON,GA 31211
1199,,,,2270 US HIGHWAY 17,RICHMOND HILL,GA 31324
1200,,,,4725 WATERS AVE,SAVANNAH,GA 31404
1201,,,,700 EAST DERENNE AVE,SAVANNAH,GA 31405
1202,,ATTN: PHARMACY SERVICE,230 DUNCAN DR,BLDG 1440,HUNTER AAF,GA 31409
1203,,,,4717-C E HWY 80,SAVANNAH,GA 31410
1204,,,ATTN: PHARMACY DEPT,881 USS JAMES MADISON ROAD,KINGS BAY,GA 31547
1205,,,,2060 HIGHWAY 40 E,KINGSLAND,GA 31548
1206,,,,2205 N ASHLEY ST,VALDOSTA,GA 31602
1207,,,MOODY AFB,3278 MITCHELL BLVD,MOODY AFB,GA 31699
1208,,,,2414 SYLVESTER RD,ALBANY,GA 31705
1209,,,,415 NORTH JACKSON STREET,AMERICUS,GA 31709
1210,,,,3617 HILTON AVE.,COLUMBUS,GA 31904
1211,,,,103 US 27 S.W,BRANFORD,FL 32008
1212,,,1305 N ORANGE AVE,SUITE 120-123,GREEN COVE SPRINGS,FL 32043
1213,,,,2094 W US HIGHWAY 90,LAKE CITY,FL 32055
1214,,,,10820 MARVIN JONES BLVD,DOWLING PARK,FL 32060
1215,,,,1515 OHIO AVE S,LIVE OAK,FL 32064
1216,,,,860 A1A N,PONTE VEDRA BEACH,FL 32082
1217,,,105 WHITEHALL DRIVE,SUITES 109-114,ST AUGUSTINE,FL 32086
1218,,,,205 WEST MADISON STREET,STARKE,FL 32091
1219,,,PHARMACY,306 UNION AVENUE,CRESCENT CITY,FL 32112
1220,,,,1425 DUNN AVENUE,DAYTONA BEACH,FL 32114
1221,,,,1650 DUNLAWTON AVE,PORT ORANGE,FL 32127
1222,,,,5151 BELLE TERRE PKWY,PALM COAST,FL 32137
1223,,,460 PALM COAST PARKWAY SW,SUITE # 5,PALM COAST,FL 32137
1224,,,,1109 PALM COAST PARKWAY SW,PALM COAST,FL 32137
1225,,,DBA \ AZALEA HEALTH,1213 STATE ROAD 20 (P.O. BOX 190),INTERLACHEN,FL 32148
1226,,,,725 COUNTY ROAD 466,LADY LAKE,FL 32159
1227,,,,13733 U.S. HWY 441,LADY LAKE,FL 32159
1228,,,DBA MEDICINE SHOPPE OF NEW SMY,1141 N DIXIE FREEWAY,NEW SMYRNA BEACH,FL 32168
1229,,,,500 W. GRANADA BLVD SUITE 4,ORMOND BEACH,FL 32174
1230,,,,795 W. GRANADA BLVD,ORMOND BEACH,FL 32174
1231,,DBA / AZALEA HEALTH,1302 RIVER ST,PO DRAWER 817,PALATKA,FL 32177
1232,,,,719 HWY 19 S,PALATKA,FL 32177
1233,,,2 SHIRCLIFF WAY,SUITE 900,JACKSONVILLE,FL 32204
1234,,,,5999 NORMANDY BLVD,JACKSONVILLE,FL 32205
1235,,,,1801 N DAVIS ST,JACKSONVILLE,FL 32209
1236,,,2080 CHILD ST DEPT 5502,HEAD PHARMACY DEPT,JACKSONVILLE,FL 32214
1237,,,NAVY EXCHANGE PHARMACY,BLDG 950,JACKSONVILLE,FL 32214
1238,,,,6006 BEACH BLVD.,JACKSONVILLE,FL 32216
1239,,,,1190 DUNN AVE,JACKSONVILLE,FL 32218
1240,,,,14003 BEACH BLVD SUITE #1,JACKSONVILLE,FL 32250
1241,,,8001 BELFORT PKWY,SUITE 160,JACKSONVILLE,FL 32256
1242,,,,6132 MERRILL ROAD SUITE 12,JACKSONVILLE,FL 32277
1243,,,,3531 THOMASVILLE ROAD,TALLAHASSEE,FL 32309
1244,,,,5466 THOMASVILLE RD N,TALLAHASSEE,FL 32312
1245,,,,950 MALL LANE,TYNDALL AFB,FL 32403
1246,,,325TH MEDICAL GROUP(ACC)SGSM,340 MAGNOLIA CIRCLE,TYNDALL AFB,FL 32403
1247,,,,20370 CENTRAL AVE W,BLOUNTSTOWN,FL 32424
1248,,,,1402 OHIO AVENUE,LYNN HAVEN,FL 32444
1249,,,,6888 N 9TH AVE,PENSACOLA,FL 32504
1250,,,,6314 N 9TH AVE,PENSACOLA,FL 32504
1251,,,6000 W HIGHWAY 98 BLDG 2268,BUILDING 2268,PENSACOLA,FL 32512
1252,,,MEMORIAL TRAIL,BUILDING 1758,EGLIN AFB,FL 32542
1253,,,131 HOWIE WALTERS RD.,BLDG 91042,HURLBURT FIELD,FL 32544
1254,,,,6501 CAROLINE ST HWY 90,MILTON,FL 32570
1255,,,,5001 NW 34TH BLVD SUITE B,GAINESVILLE,FL 32605
1256,,,,5171 NW 43RD STREET,GAINESVILLE,FL 32606
1257,,,,7520 W NEWBERRY ROAD,GAINESVILLE,FL 32606
1258,,,,9125 NW 39TH AVE,GAINESVILLE,FL 32606
1259,,,,2415 SW 75TH ST,GAINESVILLE,FL 32608
1260,,,,3455 SW ARCHER RD,GAINESVILLE,FL 32608
1261,,,,1615 NW 13TH ST.,GAINESVILLE,FL 32609
1262,,,,3909 NW 13TH ST,GAINESVILLE,FL 32609
1263,,,,15155 NW US HIGHWAY 441,ALACHUA,FL 32615
1264,,,DBA: PALMS PHARMACY OF BELL,1830 N MAIN ST,BELL,FL 32619
1265,,,,2227 N YOUNG BLVD,CHIEFLAND,FL 32626
1266,,,,22066 SE 71 ST AVE,HAWTHORNE,FL 32640
1267,,,,1120 E. UNIVERSITY AVE.,GAINESVILLE,FL 32641
1268,,,,100 COMMERCIAL DR,KEYSTONE HEIGHTS,FL 32656
1269,,,,115 N LAWRENCE BLVD,KEYSTONE HGTS,FL 32656
1270,,,,14040 W NEWBERRY RD,NEWBERRY,FL 32669
1271,,,,911 SOUTH MAIN STREET,TRENTON,FL 32693
1272,,,,8 NW MAIN ST,WILLISTON,FL 32696
1273,,,,65 E MAIN ST,APOPKA,FL 32703
1274,,,,5650 RED BUG LAKE RD,WINTER SPRINGS,FL 32708
1275,,,,2722 W. OLD HIGHWAY 441,MOUNT DORA,FL 32757
1276,,,,18910 US HWY 441,MT DORA,FL 32757
1277,,,,897 SAXON BLVD,ORANGE CITY,FL 32763
1278,,,,1920 ALOMA AVE.,WINTER PARK,FL 32792
1279,,,,1701 NORTH MILLS AVENUE,ORLANDO,FL 32803
1280,,,,408 E MICHIGAN STREET,ORLANDO,FL 32806
1281,,,PRINCETON PLAZA PHARMACY,1800 MERCY DRIVE,ORLANDO,FL 32808
1282,,,,717 W LANCASTER ROAD,ORLANDO,FL 32809
1283,,,,7599 W SAND LAKE RD,ORLANDO,FL 32819
1284,,,,7650 W SAND LAKE RD,ORLANDO,FL 32819
1285,,,,7300 CURRY FORD RD.,ORLANDO,FL 32822
1286,,,,12279 LAKE UNDERHILL RD,ORLANDO,FL 32825
1287,,,,12100 S. APOPKA VINELAND RD.,ORLANDO,FL 32836
1288,,,,1350 S HICKORY STREET,MELBOURNE,FL 32901
1289,,,,1223 GATEWAY DRIVE,MELBOURNE,FL 32901
1290,,,1270 MALABAR RD S.E,SUITE #2,PALM BAY,FL 32907
1291,,,,1361 S. PATRICK DRIVE,PATRICK AFB,FL 32925
1292,,,,4292 N ATLANTIC AVE,COCOA BEACH,FL 32931
1293,,,,4150 N ATLANTIC AVE,COCOA BEACH,FL 32931
1294,,,401 NORTH WICKHAM ROAD,SUITE W,MELBOURNE,FL 32935
1295,,,,1350 N. WICKHAM RD.,MELBOURNE,FL 32935
1296,,,8725 N WICKHAM RD.,SUITE 102,MELBOURNE,FL 32940
1297,,,,1705 US HWY 1,VERO BEACH,FL 32960
1298,,,,101 HIALEAH DR,HIALEAH,FL 33010
1299,,,,4895 PALM AVENUE,HIALEAH,FL 33012
1300,,,,6690 EAGLE NEST LN,MIAMI LAKES,FL 33014
1301,,,,15395 NW 82ND AVE.,MIAMI LAKES,FL 33016
1302,,,,2391 W. 68TH ST.,HIALEAH,FL 33016
1303,,,,4599 SHERIDAN ST.,HOLLYWOOD,FL 33021
1304,,,,15911 PINES BLVD.,PEMBROKE PINES,FL 33027
1305,,,,861 NE 8TH STREET,HOMESTEAD,FL 33030
1306,,,,60 NE 1ST ST,POMPANO BEACH,FL 33060
1307,,,,7150 W ATLANTIC BLVD,MARGATE,FL 33063
1308,,,,3580 N FEDERAL HWY,LIGHTHOUSE POINT,FL 33064
1309,,,,1250 NW 7TH STREET UNIT 101-102,MIAMI,FL 33125
1310,,,,690 NW 57TH AVE.,MIAMI,FL 33126
1311,,,,3421 SW 8 ST,MIAMI,FL 33135
1312,,,,2700 W. FLAGLER STREET,MIAMI,FL 33135
1313,,,,2900 N. BISCAYNE BLVD.,MIAMI,FL 33137
1314,,,,8765 S. DIXIE HWY.,MIAMI,FL 33143
1315,,,,2500 SW 22ND ST,MIAMI,FL 33145
1316,,,,3595 SW 22ND STREET,MIAMI,FL 33145
1317,,,,8695 CORAL WAY,MIAMI,FL 33155
1318,,,,8450 SW 24TH STREET,MIAMI,FL 33155
1319,,,,17534 COLLINS AVE,SUNNY ISLES BEACH,FL 33160
1320,,,,750 NW 119TH ST.,MIAMI,FL 33168
1321,,,,19935 NW 2ND AVE,MIAMI,FL 33169
1322,,,,10720 SW 72 STREET,MIAMI,FL 33173
1323,,,,11690 SW 72ND ST,MIAMI,FL 33173
1324,,,,9031 SW 107TH AVE,MIAMI,FL 33176
1325,,,,13749 SW 152ND ST,MIAMI,FL 33177
1326,,,,12650 SW 88TH ST.,MIAMI,FL 33186
1327,,,,1785 E. SUNRISE BLVD.,FORT LAUDERDALE,FL 33304
1328,,,,2097 WILTON DR,WILTON MANORS,FL 33305
1329,,,,1150 NE 26TH ST,WILTON MANORS,FL 33305
1330,,,,2355 NE 26TH STREET,FT LAUDERDALE,FL 33305
1331,,,6405 N. FEDERAL HIGHWAY,#205,FT LAUDERDALE,FL 33308
1332,,,,3895 W BROWARD BLVD,FORT LAUDERDALE,FL 33312
1333,,,700 SE 3RD AVENUE,SUITE 100,FT LAUDERDALE,FL 33316
1334,,,,1700 S. FEDERAL HWY.,FORT LAUDERDALE,FL 33316
1335,,,,5431 N STATE RD 7,TAMARAC,FL 33319
1336,,,,1780 N. UNIVERSITY DR.,PLANTATION,FL 33322
1337,,,,2939 FOREST HILL BLVD,WEST PALM BEACH,FL 33406
1338,,,,11000 N. MILITARY TRAIL,PALM BEACH GARDENS,FL 33410
1339,,,2309 WEST WOOLBRIGHT ROAD,SUITE 4,BOYNTON BEACH,FL 33426
1340,,,,21880 STATE ROAD 7,BOCA RATON,FL 33428
1341,,,,9940 YAMATO RD.,BOCA RATON,FL 33434
1342,,,,11079 S MILITARY TRAIL,BOYNTON BEACH,FL 33436
1343,,,4900 LINTON BLVD,STE 24,DELRAY BEACH,FL 33445
1344,,,,1800 W INDIANTOWN RD,JUPITER,FL 33458
1345,,,,3184 S CONGRESS AVE,PALM SPRINGS,FL 33461
1346,,,,12001 SOUTHERN BLVD,LOXAHATCHEE,FL 33470
1347,,,220 GRAND REGENCY BLVD,ATTN: PHARMACY FLIGHT,BRANDON,FL 33510
1348,,,,105 S MOON AVE,BRANDON,FL 33511
1349,,,,930 PROVIDENCE ROAD,BRANDON,FL 33511
1350,,,,12804 US HWY 301,DADE CITY,FL 33525
1351,,,,37943 EILAND BLVD,ZEPHYRHILLS,FL 33542
1352,,,,6429 GALL BLVD,ZEPHYRHILLS,FL 33542
1353,,,,1929 BRUCE B. DOWNS BLVD.,WESLEY CHAPEL,FL 33543
1354,,,,2653 BRUCE B DOWNS BLVD SUITE 115,WESLEY CHAPEL,FL 33544
1355,,,,32733 EILAND BLVD SUITE 103,WESLEY CHAPEL,FL 33545
1356,,,,11509 E MARTIN LUTHER KING JR BLVD,MANGO,FL 33550
1357,,,,6056 VAN DYKE RD,LUTZ,FL 33558
1358,,,,403 N ALEXANDER ST,PLANT CITY,FL 33563
1359,,,,10623 GIBSONTON DR,RIVERVIEW,FL 33569
1360,,,,105 S PEBBLE BEACH BLVD,SUN CITY CENTER,FL 33573
1361,,,,704 W MARTIN LUTHER KING JR BLVD,SEFFNER,FL 33584
1362,,,,611 S HOWARD AVE,TAMPA,FL 33606
1363,,,,2812 W. MLK BLVD,TAMPA,FL 33607
1364,,,,3518 HENDERSON BLVD,TAMPA,FL 33609
1365,,,,5908 BRECKENRIDGE PARKWAY,TAMPA,FL 33610
1366,,,,2115 E HILLSBOROUGH AVE,TAMPA,FL 33610
1367,,,,6701 N. DALE MABRY HWY.,TAMPA,FL 33614
1368,,,,8603 WEST HILLSBOROUGH AVE,TAMPA,FL 33615
1369,,,,110 BULLARD PKWY,TEMPLE TERRACE,FL 33617
1370,,,,14306 NORTH DALE MABRY HWY #D,TAMPA,FL 33618
1371,,,7101 KINGFISHER ST.,BLDG 934,TAMPA,FL 33621
1372,,,3250 ZEMKE AVENUE,BLDG. 1078,TAMPA,FL 33621
1373,,,2506 S. MACDILL AVE.,STE A,TAMPA,FL 33629
1374,,,,8001 9TH ST N,SAINT PETERSBURG,FL 33702
1375,,,,5420-9TH ST NORTH,ST PETERSBURG,FL 33703
1376,,,,900 49TH STREET N,SAINT PETERSBURG,FL 33710
1377,,,,3400 26TH AVE S,ST PETERSBURG,FL 33711
1378,,,,3501 54TH AVE S,SAINT PETERSBURG,FL 33711
1379,,,,2200 34TH STREET NORTH,SAINT PETERSBURG,FL 33713
1380,,,,501 S LINCOLN AVE,CLEARWATER,FL 33756
1381,,,,30387 US HWY 19 N,CLEARWATER,FL 33761
1382,,,,12071 INDIAN ROCKS ROAD,LARGO,FL 33774
1383,,,,13998 WALSINGHAM RD,LARGO,FL 33774
1384,,,,14004 WALSINGHAM RD,LARGO,FL 33774
1385,,,,6280 66TH ST N,PINELLAS PARK,FL 33781
1386,,,,6105 US HWY 98 N,LAKELAND,FL 33809
1387,,,,5010 S FLORIDA AVE,LAKELAND,FL 33813
1388,,,,4340 S. FLORIDA AVE.,LAKELAND,FL 33813
1389,,,,301 HAVENDALE BLVD,AUBURNDALE,FL 33823
1390,,,,501 HAVENDALE BLVD,AUBURNDALE,FL 33823
1391,,,700 1ST ST S,SUITE 1,WINTER HAVEN,FL 33880
1392,,,,805 CAPE CORAL PKY E,CAPE CORAL,FL 33904
1393,,,,12749 S. CLEVELAND AVENUE,FT MYERS,FL 33907
1394,,,6631 ORION DRIVE,SUITE 112,FORT MYERS,FL 33912
1395,,,,9451 CYPRESS LAKE DR,FORT MYERS,FL 33919
1396,,,,1446 LEE BLVD,LEHIGH ACRES,FL 33936
1397,,,,1350 LEE BLVD,LEHIGH ACRES,FL 33936
1398,,,13020 LIVINGSTON ROAD,SUITE 8,NAPLES,FL 34105
1399,,,,8900 TAMIAMI TRAIL NORTH,NAPLES,FL 34108
1400,,,,1755 HERITAGE TRAIL SUITE 604,NAPLES,FL 34112
1401,,,,3795 TAMIAMI TRAIL E,NAPLES,FL 34112
1402,,,,15295 COLLIER BLVD,NAPLES,FL 34119
1403,,,,9048 BONITA BEACH RD SE,BONITA SPRINGS,FL 34135
1404,,,,1454 MADISON AVENUE W,IMMOKALEE,FL 34142
1405,,,,6003 14TH ST W,BRADENTON,FL 34207
1406,,,,2940 SOUTH MCCALL RD,ENGLEWOOD,FL 34224
1407,,,,5800 BEE RIDGE ROAD,SARASOTA,FL 34233
1408,,,,13221 TAMIAMI TRAIL,NORTH PORT,FL 34287
1409,,,,104 S APOPKA AVE,INVERNESS,FL 34452
1410,,,,1426 S PINE AVE,OCALA,FL 34471
1411,,,,3500 SE MARICAMP ROAD,OCALA,FL 34471
1412,,,,80 PONCE DE LEON BLVD,BROOKSVILLE,FL 34601
1413,,,,11115 SPRING HILL DR,SPRING HILL,FL 34609
1414,,,11373 CORTEZ BLVD,SUITE 101,BROOKSVILLE,FL 34613
1415,,,,3535 US HWY 19,NEW PORT RICHEY,FL 34652
1416,,,,3209 TAMPA ROAD,PALM HARBOR,FL 34684
1417,,,,2480 US HIGHWAY 19,HOLIDAY,FL 34691
1418,,,3135 SR 580,SUITE 1,SAFETY HARBOR,FL 34695
1419,,,,1477 MAIN STREET,DUNEDIN,FL 34698
1420,,,,1800 E. HWY 50,CLERMONT,FL 34711
1421,,,,699 E HIGHWAY 50,CLERMONT,FL 34711
1422,,,,1205 W VINE ST,KISSIMMEE,FL 34741
1423,,,,1111 W VINE STREET,KISSIMMEE,FL 34741
1424,,,,3053 SW MARTIN DOWNS BLVD,PALM CITY,FL 34990
1425,,,,1144 AIRPORT DRIVE,ALEXANDER CITY,AL 35010
1426,,,,1815 9TH AVE NORTH,BESSEMER,AL 35020
1427,,,,1351 WEST FORT WILLIAMS ST,SYLACAUGA,AL 35150
1428,,,,101 GREEN SPRINGS HWY,BIRMINGHAM,AL 35209
1429,,,,9325 PARKWAY E,BIRMINGHAM,AL 35215
1430,,,,4700 HIGHWAY 280 SUITE 1,BIRMINGHAM,AL 35242
1431,,,,1801 MONGOMERY HWY,HOOVER,AL 35244
1432,,,,1716 TEMPLE AVE N,FAYETTE,AL 35555
1433,,,,797 MILITARY STREET SOUTH,HAMILTON,AL 35570
1434,,,,1702 N WOOD AVE,FLORENCE,AL 35630
1435,,,,1001 AVALON AVE,MUSCLE SHOALS,AL 35661
1436,,,30694 HWY 72 WEST,SUITE A,MADISON,AL 35756
1437,,,,7813 HIGHWAY 72 W,MADISON,AL 35758
1438,,,GOSS ROAD,BUILDING 4100,REDSTONE ARSENAL,AL 35809
1439,,,,113 RAINBOW INDUSTRIAL BLVD,RAINBOW CITY,AL 35906
1440,,,,7155 US HIGHWAY 431,ALBERTVILLE,AL 35950
1441,,,300 TWINING ST,BLDG 760,MAXWELL AFB,AL 36112
1442,,,,6680 ATLANTA HWY,MONTGOMERY,AL 36117
1443,,,83825 HWY 9,PO BOX 1270,ASHLAND,AL 36251
1444,,,,875 ROSS STREET,HEFLIN,AL 36264
1445,,,,17216 HIGHWAY 431,WEDOWEE,AL 36278
1446,,,,134 PREVATT ROAD,DOTHAN,AL 36301
1447,,,,2940 WEST MAIN STREET,DOTHAN,AL 36305
