name,source,address,postal,state,lat,lng,city
GEISINGER KNAPPER CLINIC,DEA,"PHARMACY, N ACADEMY AVENUE, DANVILLE, PA 17822",17822,PA,40.9678905,-76.6050616,DANVILLE
GEISINGER MEDICAL CENTER,DEA,"100 N ACADEMY AVENUE, DANVILLE, PA 17822",17822,PA,40.9678097,-76.6052513,DANVILLE
MERCY PHARMACY,DEA,"1503 LANSDOWNE AVENUE, SUITE 1000, DARBY, PA 19023",19023,PA,,,DARBY
THE SISNEY GROUP LLC,DEA,"PO BOX 518 1200 SEEMAN ST, DARRINGTON, WA 98241",98241,WA,,,DARRINGTON
"WILLIAM, BURKE, LTD",DEA,"129 W LOCUST ST, DAVENPORT, IA 52803",52803,IA,41.538042,-90.5751961,DAVENPORT
WALGREEN CO.,DEA,"1660 W LOCUST ST, DAVENPORT, IA 52804",52804,IA,41.5389559,-90.60055799999999,DAVENPORT
WALGREEN CO.,DEA,"1525 E KIMBERLY RD, DAVENPORT, IA 52807",52807,IA,,,DAVENPORT
LINCOLN HOSPITAL,DEA,"LINCOLN COUNTY PUBLIC HOSP DIS, 10 NICHOLLS ST, DAVENPORT, WA 99122",99122,WA,,,DAVENPORT
USAF- 355TH MEDICAL GROUP/SGAL,DEA,"BLDG 400, 4175 S. ALAMO AVENUE, DAVIS MONTHAN AFB, AZ 85707",85707,AZ,,,DAVIS MONTHAN AFB
355TH MDG SATELLITE PHARMACY,DEA,"5405 E GRANITE STREET, BLDG 2527, DAVIS MONTHAN AFB, AZ 85707",85707,AZ,32.182913,-110.877156,DAVIS MONTHAN AFB
DAVIS COMPOUNDING SOLUTIONS,DEA,"1205 DRAKE DRIVE, SUITE E, DAVIS, CA 95616",95616,CA,38.5605829,-121.7631848,DAVIS
KAISER FOUNDATION HLTH PLAN,DEA,"KFHP PHARMACY #621, 1955 COWELL BLVD, DAVIS, CA 95618",95618,CA,,,DAVIS
WALGREEN CO,DEA,"901 S STATE ST, DAVISON, MI 48423",48423,MI,43.0197597,-83.5169567,DAVISON
EQUITAS HEALTH PHARMACY #2,DEA,"1222 S. PATTERSON BLVD., SUITE 110, DAYTON, OH 45402",45402,OH,,,DAYTON
WALGREEN CO.,DEA,"2710 SALEM AVE., DAYTON, OH 45406",45406,OH,39.7872566,-84.2357134,DAYTON
GENOA A QOL HEALTHCARE COMPANY LLC,DEA,"1520 GERMANTOWN STREET, DAYTON, OH 45417",45417,OH,39.7463583,-84.2181458,DAYTON
HARRIS DRUG AND GIFTS LLC,DEA,"205 DEQUEEN AVE., DE QUEEN, AR 71832",71832,AR,34.037532,-94.33938409999999,DE QUEEN
SCOTT'S THRIFTY WHITE DRUG,DEA,"629 6TH AVE, DE WITT, IA 52742",52742,IA,,,DE WITT
WALGREEN CO.,DEA,"5709 S TELEGRAPH RD, DEARBORN HEIGHTS, MI 48125",48125,MI,42.2698279,-83.26936409999999,DEARBORN HEIGHTS
WALGREEN CO,DEA,"25700 FORD RD, DEARBORN HEIGHTS, MI 48127",48127,MI,42.3271487,-83.2913078,DEARBORN HEIGHTS
TODDS PHARMACY INC,DEA,"25871 FORD ROAD, DEARBORN HEIGHTS, MI 48127",48127,MI,,,DEARBORN HEIGHTS
HENRY FORD MEDICAL CENTER PHARMACY -  FORD ROAD,DEA,"5500 AUTO CLUB DRIVE, DEARBORN, MI 48126",48126,MI,42.3277679,-83.222257,DEARBORN
PALM PHARMACY,DEA,"6650 GREENFIELD RD, DEARBORN, MI 48126",48126,MI,42.3398142,-83.1957336,DEARBORN
"BOND DRUG COMPANY OF ILLINOIS, L.L.C.",DEA,"1311 N STATE ROUTE 48, DECATUR, IL 62526",62526,IL,39.8761952,-88.93935119999999,DECATUR
"DONLON DRUG, INC",DEA,"201 W. WATER ST, DECORAH, IA 52101",52101,IA,43.3039776,-91.7873858,DECORAH
THRIFTY WHITE PHARMACY #76,DEA,"702 MONTGOMERY STREET, DECORAH, IA 52101",52101,IA,43.2981957,-91.7732801,DECORAH
"BOND DRUG COMPANY OF ILLINOIS, L.L.C.",DEA,"780 WAUKEGAN RD, DEERFIELD, IL 60015",60015,IL,42.1668412,-87.8479873,DEERFIELD
WALGREEN CO.,DEA,"108 WILMOT RD., DEERFIELD, IL 60015",60015,IL,42.1555553,-87.86876099999999,DEERFIELD
PROMEDICA DEFIANCE REGIONAL HOSPITAL,DEA,"1200 RALSTON AVENUE, DEFIANCE, OH 43512",43512,OH,41.2985557,-84.3766455,DEFIANCE
FOUR CORNERS PHARMACY LLC,DEA,"360 DELAWARE AVENUE, DELMAR, NY 12054",12054,NY,,,DELMAR
SOFKO LLC,DEA,"4900 LINTON BLVD, STE 24, DELRAY BEACH, FL 33445",33445,FL,26.4380306,-80.12085549999999,DELRAY BEACH
SERVICE DRUG COMPANY,DEA,"215 WEST MAIN, P.O. BOX 460, DELTA, UT 84624",84624,UT,39.3519771,-112.5796262,DELTA
THRIFTY WHITE DRUG #56,DEA,"1320 BROADWAY, DENISON, IA 51442",51442,IA,,,DENISON
WALGREEN CO.,DEA,"101 W UNIVERSITY, DENTON, TX 76201",76201,TX,33.2303603,-97.1328948,DENTON
UNIVERSITY OF NORTH TEXAS PHARMACY,DEA,"1800 CHESTNUT, RM 102, 1155 UNION CIRCLE #305160, DENTON, TX 76203",76203,TX,42.3457642,-71.1518531,DENTON
SCALES PHARMACY LLC,DEA,"1999 PENNSYLVANIA ST, DENVER, CO 80203",80203,CO,39.7473398,-104.9812611,DENVER
WESTSIDE NEIGHBORHOOD,DEA,"1100 FEDERAL BOULEVARD, DENVER, CO 80204",80204,CO,39.7344069,-105.0241567,DENVER
DENVER HEALTH PRIMARY CARE PHARMACY,DEA,"301 W 6TH AVE, DENVER, CO 80204",80204,CO,39.7264254,-104.991643,DENVER
KAISER FOUNDATION HEALTH PLAN,DEA,"2045 FRANKLIN ST, DENVER, CO 80205",80205,CO,39.7475852,-104.969603,DENVER
EASTSIDE NEIGHBORHOOD HEALTH CENTER,DEA,"501 28TH ST, DENVER, CO 80205",80205,CO,39.75557680000001,-104.9757516,DENVER
NATIONAL JEWISH HEALTH,DEA,"1400 JACKSON STREET, ATTN: PHARMACY A-197, DENVER, CO 80206",80206,CO,,,DENVER
LACASA-QUIGG NEWTON,DEA,"4545 NAVAJO, DENVER, CO 80211",80211,CO,39.7789051,-105.0048115,DENVER
FEDERICO F PENA FAMILY HEALTH CENTER,DEA,"1339 S FEDERAL BLVD, DENVER, CO 80219",80219,CO,39.692255,-105.025749,DENVER
MHCD PHARMACY,DEA,"4455 E. 12TH AVE, DENVER, CO 80220",80220,CO,39.7350486,-104.9355952,DENVER
WELLSHIRE PHARMACY,DEA,"4141 E DICKENSON PLACE, DENVER, CO 80222",80222,CO,39.6723811,-104.9393531,DENVER
LOWRY FAMILY HEALTH CENTER PHARMACY,DEA,"STE 100, 1001 YOSEMITE ST, DENVER, CO 80230",80230,CO,,,DENVER
MONTBELLO FAMILY HEALTH CENTER PHARMACY,DEA,"12600 E. ALBROOK DR., DENVER, CO 80239",80239,CO,,,DENVER
WALGREEN CO.,DEA,"1111 S COLORADO BLVD, DENVER, CO 80246",80246,CO,39.6958952,-104.9410694,DENVER
KAISER FOUNDATION HEALTH PLAN,DEA,"10400 E ALAMEDA AVE, DENVER, CO 80247",80247,CO,,,DENVER
PSQUARED MEDICALS INC,DEA,"4809 ARGONNE ST STE 225, DENVER, CO 80249",80249,CO,39.7841733,-104.7656153,DENVER
MODEN-GIROUX,DEA,"TRANSIT HILL PHARMACY, 6344 TRANSIT RD, DEPEW, NY 14043",14043,NY,,,DEPEW
MERCY MEDICAL CENTER PHARMACY,DEA,"1111 6TH AVENUE, DES MOINES, IA 50314",50314,IA,41.5990733,-93.62298489999999,DES MOINES
WALGREEN CO.,DEA,"3140 SE 14TH ST, DES MOINES, IA 50320",50320,IA,41.556024,-93.5981094,DES MOINES
HEALTHPOINT MIDWAY PHARMACY,DEA,"26401 PACIFIC HWY S, SUITE 102, DES MOINES, WA 98198",98198,WA,47.3651308,-122.306147,DES MOINES
DES MOINES PHARMACY,DEA,"627 S 227TH ST, DES MOINES, WA 98198",98198,WA,47.3973726,-122.3255178,DES MOINES
PRESENCE RHC SENIOR SERVICES,DEA,"100 N RIVER ROAD, DES PLAINES, IL 60016",60016,IL,42.0553579,-87.8894309,DES PLAINES
ESSENTIA HEALTH DL PHARMACY,DEA,"211 FRAZEE ST E, DETROIT LAKES, MN 56501",56501,MN,46.8143921,-95.84338849999999,DETROIT LAKES
WHITE DRUG,DEA,"808 WASHINGTON AVE, SUITE 29, DETROIT LAKES, MN 56501",56501,MN,46.8314561,-95.8435059,DETROIT LAKES
KARMANOS CANCER HOSPITAL PHARMACY,DEA,"4100 JOHN R, SUITE HP00RX, DETROIT, MI 48201",48201,MI,42.3522213,-83.0570915,DETROIT
HENRY FORD MEDICAL CENTER,DEA,"MAIN CAMPUS PHARMACY (LOBBY), 2799 W. GRAND BLVD, DETROIT, MI 48202",48202,MI,42.367355,-83.085235,DETROIT
HENRY FORD MEDICAL CENTER PHARMACY,DEA,"1 FORD PLACE, DETROIT, MI 48209",48209,MI,42.3635633,-83.0750856,DETROIT
BLUE PHARMACY,DEA,"6240 MICHIGAN AVE, DETROIT, MI 48210",48210,MI,42.331508,-83.11991499999999,DETROIT
ST JOHN PHARMACY,DEA,"22151 MOROSS ROAD, SUITE G-25, DETROIT, MI 48236",48236,MI,42.4198385,-82.9143718,DETROIT
CLINIC PHARMACY,DEA,"1001 7TH STREET NE, P.O. BOX 1100, DEVILS LAKE, ND 58301",58301,ND,48.1148226,-98.8512906,DEVILS LAKE
WHITE DRUG #47 DBA BELL DRUG,DEA,"323 FIFTH STREET, SUITE 2, P.O. BOX 772, DEVILS LAKE, ND 58301",58301,ND,48.1131379,-98.8613192,DEVILS LAKE
RAMSEY DRUG INC,DEA,"401 COLLEGE DRIVE SO, DEVILS LAKE, ND 58301",58301,ND,48.1055435,-98.86533860000002,DEVILS LAKE
WHITE DRUG #63,DEA,"425 COLLEGE DRIVE SOUTH, SUITE #10, DEVILS LAKE, ND 58301",58301,ND,48.1046195,-98.86623949999999,DEVILS LAKE
"GARFIELD BEACH CVS, L.L.C.",DEA,"300 SOUTH DIAMOND BAR BOULEVARD, DIAMOND BAR, CA 91765",91765,CA,34.020482,-117.8087503,DIAMOND BAR
CLINIC PHARMACY INC,DEA,"2615 FAIRWAY STREET, DICKINSON, ND 58601",58601,ND,46.8864983,-102.8211809,DICKINSON
IRSFELD PHARMACY,DEA,"33 9TH ST WEST, DICKINSON, ND 58601",58601,ND,46.8884355,-102.7850841,DICKINSON
THRIFTY WHITE PHARMACY #034,DEA,"2265 THIRD AVENUE W, DICKINSON, ND 58601",58601,ND,46.9065093,-102.7897183,DICKINSON
ND PHARMACY WEST,DEA,"1283 ROUGHRIDER BLVD, DICKINSON, ND 58601",58601,ND,46.8948669,-102.8367069,DICKINSON
THRIFTY WHITE PHARMACY #078,DEA,"506 WEST VILLARD STREET, DICKINSON, ND 58601",58601,ND,46.8792907,-102.7930498,DICKINSON
MEDICINE SHOPPE,DEA,"1571 W. VILLARD #1, DICKINSON, ND 58601",58601,ND,46.87899549999999,-102.8104925,DICKINSON
DICKSON APOTHECARY,DEA,"104 HIGHWAY 70 E, DICKSON, TN 37055",37055,TN,36.0715824,-87.37533979999999,DICKSON
POEHLER'S PHARMACY LLC,DEA,"203 S MAIN ST SUITE A, DIETERICH, IL 62424",62424,IL,39.058984,-88.380433,DIETERICH
DEVILLE PHARMACIES,DEA,"DBA DILLSBORO DRUGS, 12836 NORTH STREET, DILLSBORO, IN 47018",47018,IN,39.017763,-85.057863,DILLSBORO
WILCOX PHARMACY,DEA,"140 EAST ROAD, DIMONDALE, MI 48821",48821,MI,42.6467786,-84.64522269999999,DIMONDALE
DONORA UNION PHARMACY,DEA,"601 MCKEAN AVE, DONORA, PA 15033",15033,PA,40.177877,-79.856186,DONORA
"CVS PHARMACY, INC.",DEA,"715 MORRISSEY BOULEVARD, DORCHESTER, MA 02122",02122,MA,42.2973755,-71.0498122,DORCHESTER
GENOA A QOL HEALTHCARE COMPANY LLC,DEA,"134 PREVATT ROAD, DOTHAN, AL 36301",36301,AL,,,DOTHAN
MEMORIAL HOSPITAL OF CONVERSE COUNTY PHARMACY,DEA,"111 SOUTH 5TH STREET, DOUGLAS, WY 82633",82633,WY,42.7589455,-105.3806032,DOUGLAS
HAPPY HARRY'S INC.,DEA,"1001 FORREST AVE, DOVER, DE 19904",19904,DE,39.1594174,-75.54361449999999,DOVER
WENTWORTH DOUGLASS HOSPITAL,DEA,"C/O THE PHARMACY DEPARTMENT, 789 CENTRAL AVE, DOVER, NH 03820",03820,NH,,,DOVER
POKAGON BAND OF POTAWATOMI INDIANS,DEA,"32652 KNO DRIVE, DOWAGIAC, MI 49047",49047,MI,,,DOWAGIAC
ACV COMMUNITY SERVICES LLC,DEA,"10820 MARVIN JONES BLVD, DOWLING PARK, FL 32060",32060,FL,30.253909,-83.235371,DOWLING PARK
"BOND DRUG COMPANY OF ILLINOIS, L.L.C.",DEA,"1000 OGDEN AVENUE, DOWNERS GROVE, IL 60515",60515,IL,,,DOWNERS GROVE
DOUGLAS & OGDEN MED CTR PHAR,DEA,"DBA DOUGLAS-MAIN PHARMACY, 5207 MAIN ST STE#102, DOWNERS GROVE, IL 60515",60515,IL,41.7927523,-88.0097704,DOWNERS GROVE
KAISER PERMANENTE PHARMACY #054,DEA,"9333 IMPERIAL HWY,  FLR 1, DOWNEY, CA 90242",90242,CA,33.9194383,-118.1291551,DOWNEY
DRAYTON DRUG,DEA,"104 E HWY 66, DRAYTON, ND 58225",58225,ND,48.5710604,-97.1774231,DRAYTON
"TETON VALLEY HEALTH CARE, INC",DEA,"120 EAST HOWARD AVENUE, DRIGGS, ID 83422",83422,ID,,,DRIGGS
SOLUTIONS PHARMACY,DEA,"13830 SAWYER RANCH RD, STE 104, DRIPPING SPRINGS, TX 78620",78620,TX,30.1948518,-97.998573,DRIPPING SPRINGS
GAYCO HEALTHCARE,DEA,"507 INDUSTRIAL BLVD, DUBLIN, GA 31021",31021,GA,32.529633,-82.9448488,DUBLIN
GENOA A QOL HEALTHCARE COMPANY LLC,DEA,"525 METRO PLACE N, STE 150, DUBLIN, OH 43017",43017,OH,,,DUBLIN
HARTIG DRUG CO,DEA,"2225 CENTRAL AVE, DUBUQUE, IA 52001",52001,IA,42.5137957,-90.6718007,DUBUQUE
HARTIG DRUG CO,DEA,"1600 UNIVERSITY AVE, DUBUQUE, IA 52001",52001,IA,42.4978878,-90.6874394,DUBUQUE
HARTIG DRUG CO,DEA,"157 LOCUST ST, DUBUQUE, IA 52001",52001,IA,42.4951288,-90.6657152,DUBUQUE
MERCY FAMILY PHARMACY,DEA,"MERCY HEALTH SERVICES IOWA, 1920 ELM STREET, DUBUQUE, IA 52001",52001,IA,42.5119555,-90.66561709999999,DUBUQUE
HARTIG DRUG #3,DEA,"2255 JOHN F KENNEDY ROAD, DUBUQUE, IA 52002",52002,IA,42.5112374,-90.7216825,DUBUQUE
KAISER PERMANENTE GWINNETT,DEA,"3650 STEVE REYNOLDS BLVD, DULUTH, GA 30096",30096,GA,33.9450398,-84.1344486,DULUTH
"GRAND ST. PAUL CVS, L.L.C.",DEA,"1215 E SUPERIOR STREET, DULUTH, MN 55802",55802,MN,46.7991357,-92.0826984,DULUTH
WALGREEN CO.,DEA,"1131 E. SUPERIOR STREET, DULUTH, MN 55802",55802,MN,46.7980513,-92.08371179999999,DULUTH
ESSENTIA HEALTH LAKESIDE PHARMACY,DEA,"4621 EAST SUPERIOR STREET, SUITE A, DULUTH, MN 55804",55804,MN,46.8290269,-92.03055119999999,DULUTH
ESSENTIA HEALTH DULUTH 3RD STREET PHARMACY,DEA,"400 EAST THIRD STREET, SUITE A, DULUTH, MN 55805",55805,MN,,,DULUTH
ESSENTIA HEALTH DULUTH 1ST STREET PHARMACY,DEA,"420 EAST FIRST STREET, SUITE A, DULUTH, MN 55805",55805,MN,,,DULUTH
FOND DU LAC CAIR PHARMACY,DEA,"221 WEST 4TH STREET, DULUTH, MN 55806",55806,MN,46.7872135,-92.106022,DULUTH
THRIFTY WHITE PHARMACY #777,DEA,"202 NORTH CENTRAL AVENUE, DULUTH, MN 55807",55807,MN,46.7365437,-92.1660952,DULUTH
ESSENTIA HEALTH WEST DULUTH PHARMACY,DEA,"4212 GRAND AVE, SUITE A, DULUTH, MN 55807",55807,MN,,,DULUTH
ESSENTIA HEALTH LAKEWALK PHARMACY,DEA,"1502 LONDON ROAD SUITE 101, DULUTH, MN 55812",55812,MN,46.7996228,-92.0768605,DULUTH
SPECTRUM HEALTHCARE RESOURCES - DUMFRIES HLTH CTR,DEA,"3700 FETTLER PARK DRIVE, DUMFRIES, VA 22025",22025,VA,38.5793622,-77.3267223,DUMFRIES
WALGREEN CO.,DEA,"1477 MAIN STREET, DUNEDIN, FL 34698",34698,FL,28.0188938,-82.7641733,DUNEDIN
DEPIETRO'S PHARMACY,DEA,"617 THIRD ST., DUNMORE, PA 18512",18512,PA,41.414226,-75.6354209,DUNMORE
SHAW'S PHARMACY INC,DEA,"221 N SAGINAW STREET, DURAND, MI 48429",48429,MI,42.9127884,-83.9850621,DURAND
RIVERGATE PHARMACY,DEA,"575 RIVERGATE LANE, SUITE 111, DURANGO, CO 81301",81301,CO,,,DURANGO
CAROLINA BEHAVIORAL CARE PHARMACY,DEA,"4102 BEN FRANKLIN BLVD, DURHAM, NC 27704",27704,NC,36.0447923,-78.8974312,DURHAM
WALGREEN CO.,DEA,"3905 N ROXBORO ST, DURHAM, NC 27704",27704,NC,36.0424706,-78.901324,DURHAM
UPCHURCH DRUGS,DEA,"5108 N ROXBORO ROAD, DURHAM, NC 27704",27704,NC,36.0682855,-78.9074273,DURHAM
WALGREENS OF NORTH CAROLINA INC.,DEA,"3905 NORTH ROXBORO STREET, DURHAM, NC 27704",27704,NC,,,DURHAM
DUKE UNIVERSITY HOSPITAL MAIN,DEA,"2301 ERWIN ROAD, DUMC #3089, DURHAM, NC 27710",27710,NC,36.0070978,-78.9371233,DURHAM
WALGREEN CO.,DEA,"6405 FAYETTEVILLE ROAD, DURHAM, NC 27713",27713,NC,,,DURHAM
WEIS PHARMACY #156,DEA,"70 PHOENIX STREET, DURYEA, PA 18642",18642,PA,41.3479769,-75.7692331,DURYEA
KVH INC.,DEA,"15602 MAIN STREET NE, DUVALL, WA 98019",98019,WA,47.7410686,-121.985743,DUVALL
HARTIG DRUG COMPANY,DEA,"STONE CREEK SHOPPING CENTER, 711 16TH AVE SE, DYERSVILLE, IA 52040",52040,IA,42.4698674,-91.11769190000001,DYERSVILLE
USAF - 7TH MEDICAL GROUP/SGSM,DEA,"697 LOUISIANA DRIVE, DYESS AFB, TX 79607",79607,TX,,,DYESS AFB
PARK NICOLLET PHARMACY,DEA,"1885 PLAZA DRIVE, EAGAN, MN 55122",55122,MN,,,EAGAN
PHS INDIAN HOSPITAL,DEA,"24276 166TH STREET, AIRPORT ROAD, EAGLE BUTTE, SD 57625",57625,SD,44.9917741,-101.2436592,EAGLE BUTTE
EAGLE PHARMACY,DEA,"311 W BROADWAY, BOX 331, EAGLE GROVE, IA 50533",50533,IA,42.6643811,-93.90518089999999,EAGLE GROVE
"WALGREEN EASTERN CO., INC.",DEA,"1 KELLY SQUARE, EAST BOSTON, MA 02128",02128,MA,42.3742253,-71.0388412,EAST BOSTON
"WALGREEN EASTERN CO., INC.",DEA,"421 RYDERS LANE, EAST BRUNSWICK, NJ 08816",08816,NJ,,,EAST BRUNSWICK
KAISER PERMANENTE PHARMACY,DEA,"5119 POMONA BLVD, EAST LOS ANGELES, CA 90022",90022,CA,34.0337887,-118.1546955,EAST LOS ANGELES
"WALGREEN EASTERN CO., INC.",DEA,"508 DR MARTIN LUTHER KING JR, EAST ORANGE, NJ 07018",07018,NJ,40.7662131,-74.2160273,EAST ORANGE
DREW CENTER PHARMACY,DEA,"2111 UNIVERSITY AVENUE, P.O.BOX 51216, EAST PALO ALTO, CA 94303",94303,CA,37.4633676,-122.1420686,EAST PALO ALTO
LOVE OAK PHARMACY,DEA,"805 WEST MAIN STREET, EASTLAND, TX 76448",76448,TX,32.4021657,-98.825982,EASTLAND
WALGREEN CO.,DEA,"8174 OCEAN GATEWAY, EASTON, MD 21601",21601,MD,,,EASTON
FAIRWAY DRUGS INC,DEA,"19332 E TEN MILE, EASTPOINTE, MI 48021",48021,MI,,,EASTPOINTE
MARSHFIELD CLINIC DISPENSING-OAKWOOD CENTER,DEA,"3501 GOLF ROAD, EAU CLAIRE, WI 54701",54701,WI,44.7682765,-91.4525338,EAU CLAIRE
MARSHFIELD CLINIC PHARMACY,DEA,"2116 CRAIG ROAD, EAU CLAIRE, WI 54701",54701,WI,44.7964043,-91.52079800000001,EAU CLAIRE
MARSHFIELD CLINIC DISPENSING-RIVERVIEW CENTER,DEA,"1000 STARR AVENUE, EAU CLAIRE, WI 54703",54703,WI,,,EAU CLAIRE
ALIXA RX LLC,DEA,"10132 WEST 76TH STREET, EDEN PRAIRIE, MN 55344",55344,MN,44.8666669,-93.405805,EDEN PRAIRIE
EDEN DRUG STORE INC,DEA,"103 W STADIUM DR, EDEN, NC 27288",27288,NC,36.5014044,-79.744052,EDEN
DEVINES PHARMACY INC,DEA,"1949 OAK TREE ROAD, EDISON, NJ 08820",08820,NJ,,,EDISON
THRIFTY PHARMACY INC #3,DEA,"230 S SANTA FE AVENUE, EDMOND, OK 73003",73003,OK,35.6529577,-97.51392539999999,EDMOND
"CREATIVE CARE PHARMACY, LLC",DEA,"14101 N EASTERN AVE., STE A, EDMOND, OK 73013",73013,OK,,,EDMOND
WALGREEN CO.,DEA,"1400 EAST SECOND ST, EDMOND, OK 73034",73034,OK,35.6523167,-97.4615147,EDMOND
QFC #851/EDMONDS,DEA,"22828 100TH AVENUE WEST, EDMONDS, WA 98020",98020,WA,47.7913635,-122.3678155,EDMONDS
JRK PHARMA INC,DEA,"7631 212TH ST SW SUITE D-100, EDMONDS, WA 98026",98026,WA,,,EDMONDS
FAMILY PHARMACY,DEA,"7315 212TH ST SW, SUITE 100, EDMONDS, WA 98026",98026,WA,,,EDMONDS
CHC OF SNOHOMISH COUNTY EDMONDS PHARMACY,DEA,"23320 HIGHWAY 99, EDMONDS, WA 98026",98026,WA,47.7882976,-122.3405158,EDMONDS
USAF- 412TH MEDICAL GROUP,DEA,"30 NIGHTINGALE ROAD, BUILDING NO. 5525, EDWARDS AFB, CA 93524",93524,CA,,,EDWARDS AFB
USAF-EGLIN AFB SATELLITE PHARMACY,DEA,"MEMORIAL TRAIL, BUILDING 1758, EGLIN AFB, FL 32542",32542,FL,,,EGLIN AFB
USAF- 354TH MEDICAL GROUP,DEA,"2630 CENTRAL AVENUE, SUITE 1, EIELSON AFB, AK 99702",99702,AK,64.6735147,-147.0837503,EIELSON AFB
WALGREEN CO.,DEA,"11565 SAN PABLO AVE, EL CERRITO, CA 94530",94530,CA,37.9246426,-122.3188373,EL CERRITO
US ARMY- WILLIAM BEAUMONT ARMY MED CTR,DEA,"5005 N PIEDRAS BLDG 7777, BLDG 7777 RM 1-5, EL PASO, TX 79920",79920,TX,,,EL PASO
WALGREEN CO.,DEA,"9428 DYER STREET, EL PASO, TX 79924",79924,TX,,,EL PASO
US ARMY- MEDICAL FACILITY,DEA,"10460 VISTA DEL SOL, EL PASO, TX 79925",79925,TX,31.7564036,-106.3460623,EL PASO
WALGREEN CO.,DEA,"1831 N LEE TREVINO DRIVE, EL PASO, TX 79936",79936,TX,31.7662202,-106.3195322,EL PASO
EL RENO INDIAN HEALTH CENTER,DEA,"1801 N PARKVIEW DRIVE, EL RENO, OK 73036",73036,OK,,,EL RENO
USAF- 61ST MEDICAL SQUADRON/SGSL,DEA,"2305 MERCURY AVENUE, BLDG 210, EL SEGUNDO, CA 90245",90245,CA,33.9187486,-118.3819003,EL SEGUNDO
WALGREEN CO,DEA,"1260 LIBERTY RD, ELDERSBURG, MD 21784",21784,MD,39.4048734,-76.9513104,ELDERSBURG
WALGREEN CO.,DEA,"1700 LARKIN AVE, ELGIN, IL 60123",60123,IL,,,ELGIN
"WALGREEN EASTERN CO., INC.",DEA,"600 NEWARK AVE, ELIZABETH, NJ 07208",07208,NJ,40.6772826,-74.2126397,ELIZABETH
WALGREEN CO.,DEA,"214 BROAD ST, ELIZABETHTON, TN 37643",37643,TN,36.3505142,-82.2217944,ELIZABETHTON
WALGREEN CO.,DEA,"1602 N. DIXIE AVE, ELIZABETHTOWN, KY 42701",42701,KY,37.7284099,-85.88529199999999,ELIZABETHTOWN
ELIZABETHTOWN COMMUNITY HOSP,DEA,"75 PARK STREET, PO BOX 277, ELIZABETHTOWN, NY 12932",12932,NY,44.215833,-73.59590899999999,ELIZABETHTOWN
MASONIC HOMES PHARMACY,DEA,"ONE MASONIC DRIVE, ELIZABETHTOWN, PA 17022",17022,PA,40.1445648,-76.6121012,ELIZABETHTOWN
KAISER PERMANENTE PHARMACY #303,DEA,"10305 PROMENADE PKWY FL 1, ELK GROVE, CA 95757",95757,CA,,,ELK GROVE
KAISER PERMANENTE PHRMCY #301,DEA,"9201 BIG HORN BLVD, 1ST FLOOR, ELK GROVE, CA 95758",95758,CA,38.4253478,-121.4063825,ELK GROVE
WALGREEN CO.,DEA,"7299 LAGUNA BLVD, ELK GROVE, CA 95758",95758,CA,38.4242642,-121.4186799,ELK GROVE
RIVER PHARMACY INC,DEA,"124 AMES ST, ELK RAPIDS, MI 49629",49629,MI,,,ELK RAPIDS
HEALTH CENTER PHARMACY,DEA,"812 GORMAN AVE, ELKINS, WV 26241",26241,WV,,,ELKINS
SCHEURER FAMILY PHARMACY,DEA,"4970 RAILROAD STREET, ELKTON, MI 48731",48731,MI,,,ELKTON
WALGREEN CO.,DEA,"10097 BALTIMORE NATIONAL PIKE, ELLICOTT CITY, MD 21042",21042,MD,39.2787656,-76.86000159999999,ELLICOTT CITY
USAF - 28 MEDICAL GROUP/SGAL,DEA,"2900 DOOLITTLE DRIVE, ELLSWORTH AFB, SD 57706",57706,SD,44.146414,-103.073678,ELLSWORTH AFB
USAF- 673 MEDICAL GROUP,DEA,"MARK FOR FM5000/SGSM, 5955 ZEAMER AVE, ELMENDORF AFB, AK 99506",99506,AK,,,ELMENDORF AFB
"WALGREEN EASTERN CO., INC.",DEA,"8420 BROADWAY, ELMHURST, NY 11373",11373,NY,40.7394148,-73.8783651,ELMHURST
"MEACHAM PHARMACY,  INC",DEA,"107 MEACHAM AVENUE, ELMONT, NY 11003",11003,NY,,,ELMONT
"WALGREEN EASTERN CO., INC.",DEA,"100 BROADWAY, ELMWOOD PARK, NJ 07407",07407,NJ,40.9187625,-74.12380209999999,ELMWOOD PARK
WALGREEN CO.,DEA,"100 CLEVELAND ST, ELYRIA, OH 44035",44035,OH,,,ELYRIA
STANFORD EMERYVILLE HEALTH CENTER PHARMACY,DEA,"5800 HOLLIS STREET, ROOM 2325, EMERYVILLE, CA 94608",94608,CA,37.8404465,-122.2891824,EMERYVILLE
SHOPKO PHARMACY #2201,DEA,"3402 MAIN ST, EMMETSBURG, IA 50536",50536,IA,43.1111079,-94.69397330000001,EMMETSBURG
HEARTLAND PHARMACY - DENVER (DBA),DEA,"8599 PRAIRIE TRAIL DR, STE A300, ENGLEWOOD, CO 80112",80112,CO,39.560493,-104.8209186,ENGLEWOOD
WALGREEN CO.,DEA,"2940 SOUTH MCCALL RD, ENGLEWOOD, FL 34224",34224,FL,26.9351016,-82.3104079,ENGLEWOOD
SCHEFFE PRESCRIPTION SHOP,DEA,"127 EAST RANDOLPH, ENID, OK 73701",73701,OK,36.39755299999999,-97.8770899,ENID
