Business Name,Address 1,Address 2,"City,State,Zip"
THRIFTY PHARMACY INC #3,230 S SANTA FE AVENUE,,"EDMOND, OK 73003"
"CREATIVE CARE PHARMACY, LLC","14101 N EASTERN AVE., STE A",,"EDMOND, OK 73013"
WALGREEN CO.,1400 EAST SECOND ST,,"EDMOND, OK 73034"
QFC #851/EDMONDS,22828 100TH AVENUE WEST,,"EDMONDS, WA 98020"
JRK PHARMA INC,7631 212TH ST SW SUITE D-100,,"EDMONDS, WA 98026"
FAMILY PHARMACY,7315 212TH ST SW,SUITE 100,"EDMONDS, WA 98026"
CHC OF SNOHOMISH COUNTY EDMONDS PHARMACY,23320 HIGHWAY 99,,"EDMONDS, WA 98026"
USAF- 412TH MEDICAL GROUP,30 NIGHTINGALE ROAD,BUILDING NO. 5525,"EDWARDS AFB, CA 93524"
USAF-EGLIN AFB SATELLITE PHARMACY,MEMORIAL TRAIL,BUILDING 1758,"EGLIN AFB, FL 32542"
USAF- 354TH MEDICAL GROUP,2630 CENTRAL AVENUE,SUITE 1,"EIELSON AFB, AK 99702"
WALGREEN CO.,11565 SAN PABLO AVE,,"EL CERRITO, CA 94530"
US ARMY- WILLIAM BEAUMONT ARMY MED CTR,5005 N PIEDRAS BLDG 7777,BLDG 7777 RM 1-5,"EL PASO, TX 79920"
WALGREEN CO.,9428 DYER STREET,,"EL PASO, TX 79924"
US ARMY- MEDICAL FACILITY,10460 VISTA DEL SOL,,"EL PASO, TX 79925"
WALGREEN CO.,1831 N LEE TREVINO DRIVE,,"EL PASO, TX 79936"
EL RENO INDIAN HEALTH CENTER,1801 N PARKVIEW DRIVE,,"EL RENO, OK 73036"
USAF- 61ST MEDICAL SQUADRON/SGSL,2305 MERCURY AVENUE,BLDG 210,"EL SEGUNDO, CA 90245"
WALGREEN CO,1260 LIBERTY RD,,"ELDERSBURG, MD 21784"
WALGREEN CO.,1700 LARKIN AVE,,"ELGIN, IL 60123"
"WALGREEN EASTERN CO., INC.",600 NEWARK AVE,,"ELIZABETH, NJ 07208"
WALGREEN CO.,214 BROAD ST,,"ELIZABETHTON, TN 37643"
WALGREEN CO.,1602 N. DIXIE AVE,,"ELIZABETHTOWN, KY 42701"
ELIZABETHTOWN COMMUNITY HOSP,75 PARK STREET,PO BOX 277,"ELIZABETHTOWN, NY 12932"
MASONIC HOMES PHARMACY,ONE MASONIC DRIVE,,"ELIZABETHTOWN, PA 17022"
KAISER PERMANENTE PHARMACY #303,10305 PROMENADE PKWY FL 1,,"ELK GROVE, CA 95757"
KAISER PERMANENTE PHRMCY #301,9201 BIG HORN BLVD,1ST FLOOR,"ELK GROVE, CA 95758"
WALGREEN CO.,7299 LAGUNA BLVD,,"ELK GROVE, CA 95758"
RIVER PHARMACY INC,124 AMES ST,,"ELK RAPIDS, MI 49629"
HEALTH CENTER PHARMACY,812 GORMAN AVE,,"ELKINS, WV 26241"
SCHEURER FAMILY PHARMACY,4970 RAILROAD STREET,,"ELKTON, MI 48731"
WALGREEN CO.,10097 BALTIMORE NATIONAL PIKE,,"ELLICOTT CITY, MD 21042"
USAF - 28 MEDICAL GROUP/SGAL,2900 DOOLITTLE DRIVE,,"ELLSWORTH AFB, SD 57706"
USAF- 673 MEDICAL GROUP,MARK FOR FM5000/SGSM,5955 ZEAMER AVE,"ELMENDORF AFB, AK 99506"
"WALGREEN EASTERN CO., INC.",8420 BROADWAY,,"ELMHURST, NY 11373"
"MEACHAM PHARMACY,  INC",107 MEACHAM AVENUE,,"ELMONT, NY 11003"
"WALGREEN EASTERN CO., INC.",100 BROADWAY,,"ELMWOOD PARK, NJ 07407"
WALGREEN CO.,100 CLEVELAND ST,,"ELYRIA, OH 44035"
STANFORD EMERYVILLE HEALTH CENTER PHARMACY,"5800 HOLLIS STREET, ROOM 2325",,"EMERYVILLE, CA 94608"
SHOPKO PHARMACY #2201,3402 MAIN ST,,"EMMETSBURG, IA 50536"
HEARTLAND PHARMACY - DENVER (DBA),8599 PRAIRIE TRAIL DR,STE A300,"ENGLEWOOD, CO 80112"
WALGREEN CO.,2940 SOUTH MCCALL RD,,"ENGLEWOOD, FL 34224"
SCHEFFE PRESCRIPTION SHOP,127 EAST RANDOLPH,,"ENID, OK 73701"
QFC PHARMACY,1009 MONROE ST,,"ENUMCLAW, WA 98022"
WELLSPAN PHARMACY,183 N. READING ROAD,SUITE 9,"EPHRATA, PA 17522"
BEATTIE'S HEALTH MART PHARMACY,3140 VILLAGE VISTA DR,SUITE 100,"ERIE, CO 80516"
"PENNSYLVANIA CVS PHARMACY, L.L.C.",3800 PINE AVE,,"ERIE, PA 16504"
FRONTIER PHARMACY,1216 WEST 6TH STREET,,"ERIE, PA 16507"
HRH PHARMACY INC.,1900 MCHENRY AVE. #202,,"ESCALON, CA 95320"
ST FRANCIS HOSPITAL,3401 LUDINGTON,,"ESCANABA, MI 49829"
WALGREEN CO.,2301 LUDINGTON ST,,"ESCANABA, MI 49829"
AVERA HOLY FAMILY HEALTH,826 N 8TH STREET,,"ESTHERVILLE, IA 51334"
WALGREEN CO.,22401 LAKE SHORE BLVD,,"EUCLID, OH 44123"
UNIV OF OREGON HEALTH CENTER,1590 EAST 13TH (PHYSCIAL ADDRESS),1232 UNIVERSITY OF OREGON,"EUGENE, OR 97403"
CLONEYS PHARMACY INC,2515 HARRISON AVENUE,,"EUREKA, CA 95501"
MONFORT FAMILY CLINIC PHARMACY,2930 11TH AVENUE,,"EVANS, CO 80620"
ST. VINCENT PHARMACY MOB,801 ST. MARY'S DRIVE,,"EVANSVILLE, IN 47714"
WALGREEN CO.,925 SOUTH GREEN RIVER ROAD,,"EVANSVILLE, IN 47715"
EVART PHARMACY PLLC,107 N. MAIN ST,,"EVART, MI 49631"
QFC PHARMACY #853,2615 BROADWAY,,"EVERETT, WA 98201"
KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,2930 MAPLE ST,,"EVERETT, WA 98201"
CHC OF SNOHOMISH COUNTY,EVERETT-NORTH PHARMACY,1424 BROADWAY,"EVERETT, WA 98201"
PROVIDENCE MEDICAL CENTER PHARMACY,1321 COLBY AVENUE,C WING 1ST FLOOR,"EVERETT, WA 98201"
QFC #852/EVERETT,4919 EVERGREEN WAY,,"EVERETT, WA 98203"
CHC OF SNOHOMISH COUNTY,1019 112TH STREET SW,,"EVERETT, WA 98204"
USN- NAVAL HEALTH CLINIC,2000 W. MARINE VIEW DRIVE,,"EVERETT, WA 98207"
SEAMAR COMMUNITY HEALTH CENTER PHARMACY,"1920 100TH ST SE, BUILDING B",,"EVERETT, WA 98208"
DENALI PHARMACY,1650 COWLES ST,,"FAIRBANKS, AK 99701"
CHIEF ANDREW ISAAC HEALTH CEN,PHARMACY SERVICES,1717 WEST COWLES STREET,"FAIRBANKS, AK 99701"
USAF- 92ND MEDICAL GROUP,ATTN: MEDICAL SUPPLY OFFICER,701 HOSPITAL LOOP/SUITE 40,"FAIRCHILD AFB, WA 99011"
FAIRFAX PHARMACY INC,PO BOX 366,1275 ALLENDALE-FAIRFAX HWY,"FAIRFAX, SC 29827"
SPECTRUM HEALTHCARE RESOURCES - FAIRFAX HLTH CTR,10580 ARROWHEAD DRIVE,,"FAIRFAX, VA 22030"
HY-VEE PHARMACY #1180,1300 WEST BURLINGTON AVENUE,,"FAIRFIELD, IA 52556"
NUDAK VENTURES LLC,2000 D SOUTH MAIN STREET,PO BOX 1027,"FAIRFIELD, IA 52556"
MERCY HOSPITAL,3000 MACK ROAD,ATTENTION PHARMACY LOWER LEVEL,"FAIRFIELD, OH 45014"
WELLSPAN PHARMACY,4910B FAIRFIELD ROAD,,"FAIRFIELD, PA 17320"
WALGREEN CO.,2 SOUTH GREENO RD,,"FAIRHOPE, AL 36532"
"CVS PHARMACY, INC.",1620 PRESIDENT AVENUE,,"FALL RIVER, MA 02720"
"WALGREEN EASTERN CO., INC.",369 PLYMOUTH AVE,,"FALL RIVER, MA 02721"
CAPE COD HEALTHCARE PHARMACY AT FALMOUTH HOSPITAL,100 TER HEUN DRIVE,,"FALMOUTH, MA 02540"
"CVS PHARMACY, INC.",105 DAVIS STRAITS,,"FALMOUTH, MA 02540"
SANFORD PHARMACY BROADWAY,737 BROADWAY,,"FARGO, ND 58102"
W W INC,DBA: THE MEDICINE SHOPPE,2800 NORTH BROADWAY,"FARGO, ND 58102"
FAMILY HEALTHCARE PHARMACY,NDSU,301 NP AVENUE,"FARGO, ND 58102"
INHEALTH SPECIALTY PHARMACY,2345 25TH ST. S.,,"FARGO, ND 58103"
W W INC,DBA THE MEDICINE SHOPPE,1605 SOUTH UNIVERSITY DRIVE,"FARGO, ND 58103"
SANFORD PHARMACY SOUTH UNIVERSITY,1720 SOUTH UNIVERSITY DRIVE,,"FARGO, ND 58103"
DAKOTA CLINIC PHARMACY,1702 SOUTH UNIVERSITY DR,,"FARGO, ND 58103"
SOUTHPOINTE PHARMACY,2400 32ND AVE S,,"FARGO, ND 58103"
THRIFTY DRUG SOUTHGATE,1532 32ND AVENUE SOUTH,,"FARGO, ND 58103"
DAKOTA CLINIC PHARMACY ON 32 AVENUE,3000 32 AVENUE S,,"FARGO, ND 58103"
THRIFTY WHITE PHARMACY #039,1401 33RD STREET SOUTHWEST,,"FARGO, ND 58103"
SANFORD PHARMACY MEDICAL CENTER FARGO,5225 23RD AVE S,,"FARGO, ND 58104"
THRIFTY WHITE PHARMACY #068,4255 30TH AVE S,,"FARGO, ND 58104"
MEDICAL PHARMACY SOUTH,4151 45TH ST SO,,"FARGO, ND 58104"
SEIP PRESCRIPTION SHOPPE #12,5675 26TH AVE SOUTH SUITE 136A,,"FARGO, ND 58104"
FRANKLIN MEMORIAL HOSPITAL,111 FRANKLIN HEALTH COMMONS,,"FARMINGTON, ME 04938"
UNIVERSITY OF UTAH FARMINGTON PHARMACY,165 N UNIVERSITY AVE RM 102,,"FARMINGTON, UT 84025"
DEBBIE'S DRUGS,1716 TEMPLE AVE N,,"FAYETTE, AL 35555"
SCOTT PHARMACY,238 S MAIN,PO BOX 188,"FAYETTE, IA 52142"
CAPE FEAR DISCOUNT DRUG,2800-18 RAEFORD RD,,"FAYETTEVILLE, NC 28303"
"NORTH CAROLINA CVS PHARMACY, L.L.C.",522 OWEN DR,,"FAYETTEVILLE, NC 28304"
"THE VILLAGE PHARMACY, LLC",5106 NC HWY 87 SOUTH,SUITE 100,"FAYETTEVILLE, NC 28306"
USAF- 90TH MEDICAL GROUP/SGSL,F.M. 4613,"6900 ALDEN DRIVE, BUILDING 160","FE WARREN AFB, WY 82005"
HEALTHPOINT FEDERAL WAY PHARMACY,33431 13TH PL. S.,,"FEDERAL WAY, WA 98003"
KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,301 S 320TH ST,,"FEDERAL WAY, WA 98003"
VIRGINIA MASON SO CLINIC PHCY,33501 1ST WAY SOUTH,,"FEDERAL WAY, WA 98003"
RINGS PHARMACY,362 MAIN STREET,PO BOX 577,"FERNDALE, CA 95536"
SERVICE DRUG,40 NORTH MAIN STREET,,"FILLMORE, UT 84631"
"INDIANA UNIVERSITY HEALTH, INC",13100 E 136TH STREET,SUITE 1000,"FISHERS, IN 46037"
FLAGSTAFF PHARMACY,77 W FOREST AVENUE,#104,"FLAGSTAFF, AZ 86001"
SACRED PEAKS HEALTH CENTER,3480 EAST ROUTE 66,,"FLAGSTAFF, AZ 86004"
NORTH COUNTRY COMMUNITY,2920 N. 4TH STREET,,"FLAGSTAFF, AZ 86004"
TOWN CENTER PHARMACY,1201 FLUSHING ROAD,SUITE 2,"FLINT, MI 48504"
NORTH SAGINAW PHARMACY,2918 NORTH SAGINAW STREET,,"FLINT, MI 48505"
"CENTRAL PHARMACY-EAST, LLC",3097 N. GENESEE RD,,"FLINT, MI 48506"
ADVANCED SPECIALTY RX LLC,4800 S. SAGINAW ST.,SUITE 1675,"FLINT, MI 48507"
DISCOUNT RX,4400 S. SAGINAW ST,SUITE 1335,"FLINT, MI 48507"
BENZER PHARMACY,G-3333 BEECHER ROAD,SUITE B,"FLINT, MI 48532"
NORTHWOOD/MASSEY DRUGS,1702 N WOOD AVE,,"FLORENCE, AL 35630"
WALGREEN CO.,8193 MALL ROAD,,"FLORENCE, KY 41042"
FLORENCE PHARMACY NORTH,5549 OLD HIGHWAY 93,,"FLORENCE, MT 59833"
"SOUTH CAROLINA CVS PHARMACY, L.L.C.",733 S. IRBY ST.,,"FLORENCE, SC 29501"
FLOWER MOUND HERBAL PHARMACY,"1001 CROSSTIMBERS ROAD, SUITE 1170",,"FLOWER MOUND, TX 75028"
DUANE READE,13602 ROOSEVELT AVENUE,,"FLUSHING, NY 11354"
KAISER PERMANENTE PHMCY #281,2155 IRON POINT ROAD,,"FOLSOM, CA 95630"
ST AGNES HOSPITAL,DEPARTMENT OF PHARMACY,430 EAST DIVISION STREET,"FOND DU LAC, WI 54935"
KAISER PERMANENTE PHARMACY #189,"9961 SIERRA AVE, HOSP BLDG, FL 1",,"FONTANA, CA 92335"
WALGREEN CO.,16108 FOOTHILL BOULEVARD,,"FONTANA, CA 92335"
DUANE READE,107-16 CONTINENTAL AVENUE,,"FOREST HILLS, NY 11375"
US ARMY FBCH PHARMACY SERVICE,9300 DEWITT LOOP,ROOM C1382 MAIN VAULT,"FORT BELVOIR, VA 22060"
US ARMY PHARMACY ANEX,8651 JOHN J KINGMAN ROAD,,"FORT BELVOIR, VA 22060"
BENTON PHARMACY,1418 FRONT ST,BOX 549,"FORT BENTON, MT 59442"
US ARMY- SOLDIER & FAMILY MEDICAL CLINIC PHARMACY,BLDG 2496 RICKER ROAD,,"FORT BLISS, TX 79916"
US ARMY- WOMACK MEDICAL CENTER,DEPT OF PHARMACY,BLDG 4-2817 REILLY RD,"FORT BRAGG, NC 28310"
US ARMY - TOWN CENTER PHARMACY,BLDG 98 MICHIGAN AVE,,"FORT CAMPBELL, KY 42223"
US ARMY- BLANCHFIELD  COMMUNITY,"MEDDAC, BLDG 650, RM 1BG01",,"FORT CAMPBELL, KY 42223"
WALGREEN CO.,2190 W DRAKE RD,,"FORT COLLINS, CO 80526"
HARMONY EMERGENCY DEPARTMENT PHARMACY,B125,4630 SNOW MESA DR,"FORT COLLINS, CO 80528"
FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,INTERSECTION OF N7 AND N12,"FORT DEFIANCE, AZ 86504"
DANIEL PHARMACY,1114 CENTRAL AVENUE,,"FORT DODGE, IA 50501"
TRINITY PHARMACY,802 KENYON ROAD,SUITE 120,"FORT DODGE, IA 50501"
US ARMY- CONNER TROOP MEDICAL CLINIC,10504 KORENGAL VALLEY BLVD,,"FORT DRUM, NY 13602"
PHS INDIAN HEALTH CENTER,P.O.BOX 160,2 MILES SOUTH OF BOTTLE HOLLOW,"FORT DUCHESNE, UT 84026"
US ARMY- MCDONALD HEALTH CENTER,"BLDG 576, JEFFERSON AVE",,"FORT EUSTIS, VA 23604"
US ARMY-PX REFILL PHARMACY,35200 3 RD AVE,BUILDING 38200,"FORT GORDON, GA 30905"
US ARMY-BENNETT HEALTH CLINIC PHARMACY,BLDG 420 RM 1156,31ST  & BATTALION AVE,"FORT HOOD, TX 76544"
US ARMY-THOMAS MOORE PHARMACY,BLDG 2245 RM B001,58TH & BATTALION AVE,"FORT HOOD, TX 76544"
US ARMY DARNALL AMC NORTH-PHCY,BLDG #56501 HEADQUARTER RD.,,"FORT HOOD, TX 76544"
US ARMY-MONROE HEALTH CLINIC PHAMRACY,BLDG 330003 RM 109,74TH ST & BATTALION AVE,"FORT HOOD, TX 76544"
US ARMY CLEAR CREEK PHARMACY,BLDG 4250 CLEAR CREEK BLVD,ROOM 406,"FORT HOOD, TX 76544"
US ARMY- RAYMOND W BLISS HLTH CNT,2240 E. WINROW RD,ROOM 102-24,"FORT HUACHUCA, AZ 85613"
US ARMY- FT IRWIN MEDDAC,ATTN: PHARMACY SERVICES,390 OUTER LOOP ROAD ROOM 2248,"FORT IRWIN, CA 92310"
US ARMY- MONCRIEF COMMUNITY HOSPITAL,BUILDING 4500 STUART STREET,,"FORT JACKSON, SC 29207"
US ARMY-MONCRIEF PX REFILL PHARMACY,4110 MOSBY STREET,,"FORT JACKSON, SC 29207"
US ARMY- FT KNOX MAIN PX-PHARMACY,160 BINTER STREET,,"FORT KNOX, KY 40121"
US ARMY- IRELAND COMMUNITY HOSP/PHARM,289 IRELAND AVE BLDG 851,,"FORT KNOX, KY 40121"
"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",1785 E. SUNRISE BLVD.,,"FORT LAUDERDALE, FL 33304"
WALGREEN CO.,3895 W BROWARD BLVD,,"FORT LAUDERDALE, FL 33312"
"HOLIDAY CVS, L.L.C.",1700 S. FEDERAL HWY.,,"FORT LAUDERDALE, FL 33316"
US ARMY-  KENNER HEALTH CLINIC,700 24TH STREET,,"FORT LEE, VA 23801"
FT. LEE TMC2,BUILDING 18036,300 CENTRAL AVENUE,"FORT LEE, VA 23801"
US ARMY- KIMBROUGH AMBULATORY CARE CENTER,DEPARTMENT OF PHARMACY,KIMBROUGH AMBULATORY CARE CENTER,"FORT MEADE, MD 20755"
"GULF COAST PHARMACY, LLC",6631 ORION DRIVE,SUITE 112,"FORT MYERS, FL 33912"
"CYPRESS PHARMACY, INC",9451 CYPRESS LAKE DR,,"FORT MYERS, FL 33919"
US ARMY- FT POLK MED ACTIVITY,BLDG 1585 3RD ST RM 1758,,"FORT POLK, LA 71459"
US ARMY- FT POLK CTMC,8091 GEORGIA AVE BLDG 3504,ROOM 1B104,"FORT POLK, LA 71459"
US ARMY- FT RILEY- IACH PHARMACY,650 HUEBNER ROAD,ATTN PHARMACY SERVICES,"FORT RILEY, KS 66442"
US ARMY FORT RILEY IACH PHARMACY,650 HUEBNER ROAD,,"FORT RILEY, KS 66442"
US ARMY-RAHC TROOP MEDICAL CLINIC,6039 BERRY ROAD,,"FORT SILL, OK 73503"
US ARMY-RAHC COMMISSARY PHARMACY (PHARMISSARY),1719 MACOMB ROAD,,"FORT SILL, OK 73503"
SPIRIT LAKE HEALTH CENTER,3883 74TH AVENUE,PO BOX 309,"FORT TOTTEN, ND 58335"
US ARMY-BASSETT ARMY COMMUNITY HOSPITAL,BASSETT ARMY COMM HOSP,"BLDG 4076 NEELY RD, ROOM 131-02","FORT WAINWRIGHT, AK 99703"
COOK CHILDREN'S PHARMACY 1,"801 7TH AVENUE, STE 1700",,"FORT WORTH, TX 76104"
JPS HEALTH SYSTEM,1500 SOUTH MAIN STREET,SUITE OPC 1,"FORT WORTH, TX 76104"
AHF PHARMACY,"400 N BEACH STREET, STE 102",,"FORT WORTH, TX 76111"
"PERRONERX, LLC",3923 HWY 377 SOUTH,,"FORT WORTH, TX 76116"
GREEN'S FORTUNA PHARMACY,906 MAIN ST,,"FORTUNA, CA 95540"
REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,,"FORTUNA, CA 95540"
GARST RX,325 S MAIN ST,,"FORTVILLE, IN 46040"
"LONGS DRUG STORES CALIFORNIA, L.L.C.",111 E MERCED ST,,"FOWLER, CA 93625"
FOWLERVILLE PHARMACY,119 E. GRAND RIVER,P.O. BOX 337,"FOWLERVILLE, MI 48836"
"WALGREEN EASTERN CO., INC.",653 WORCESTER RD,,"FRAMINGHAM, MA 01701"
"CVS PHARMACY, INC.",1280 WORCESTER RD.,,"FRAMINGHAM, MA 01702"
BRAY PHARMACY INC.,662 EAST MAIN ST.,,"FRANKFORT, KY 40601"
"CVS PHARMACY, INC.","272 EAST CENTRAL STREET, ROUTE 140",,"FRANKLIN, MA 02038"
WALGREEN CO.,31100 GROESBECK HWY.,,"FRASER, MI 48026"
US ARMY- FT DETRICK HEALTH CLINIC,1434 PORTER STREET,FORT DETRICK,"FREDERICK, MD 21702"
MCFALL'S PHARMACY,LEWIS R KEITH,219 EAST JOSEPHINE,"FREDERICK, OK 73542"
VALU-MED INC,707 NORTH LLANO,,"FREDERICKSBURG, TX 78624"
HILL COUNTRY MEM HOSP INC,1020 SOUTH STATE HWY 16,PO BOX 835,"FREDERICKSBURG, TX 78624"
KAISER PERMANENTE FREDERICKSBURG PHARMACY,1201 HOSPITAL DRIVE,,"FREDERICKSBURG, VA 22401"
WALGREEN CO.,1810 FREEDOM BLVD,,"FREEDOM, CA 95019"
HALLER'S PHARMACY & MEDICAL SUPPLY,37323 FREMONT BLVD.,,"FREMONT, CA 94536"
CAPSULE PHARMACY,2557 MOWRY AVE,SUITE # 11,"FREMONT, CA 94538"
MOWRY MEDICAL PHARMACY,1999 MOWRY AVENUE,SUITE #2A,"FREMONT, CA 94538"
WASHINGTON HOSPITAL PHARMACY,2000 MOWRY AVE,,"FREMONT, CA 94538"
"KAISER FOUNDATION HEALTH PLAN, INC",OHLONE PHARMACY #162,39400 PASEO PADRE PARKWAY,"FREMONT, CA 94538"
JADE PHARMACY,34460 FREMONT BLVD SUITE B,,"FREMONT, CA 94555"
MEMORIAL HOSPITAL,PHARMACY,715 SOUTH TAFT AVE,"FREMONT, OH 43420"
WALGREEN CO.,1016 W SHAW AVE,,"FRESNO, CA 93711"
KAISER FOUNDATION HEALTH PLAN,KFHP B PHARMACY #722,7300 N FRESNO ST FLR 1 CYPRESS,"FRESNO, CA 93720"
"GARFIELD BEACH CVS, L.L.C.",4987 N. FRESNO ST.,,"FRESNO, CA 93726"
WALGREEN CO.,626 S CLOVIS AVE,,"FRESNO, CA 93727"
A & H STORES,210 SPRING STREET WEST,PO BOX 516,"FRIDAY HARBOR, WA 98250"
TOTAL CARE PHARMACY,7221 UNIVERSITY AVENUE,,"FRIDLEY, MN 55432"
PRESCRIPTION ALTERNATIVES,P.O. BOX 897,"JANET CARTER, PRESIDENT","FRISCO, CO 80443"
FAMILY PHARMACY SERVICES,303 WEST 10TH STREET,,"FRONT ROYAL, VA 22630"
THE PRESCRIPTION PAD,1118 NW 16TH ST,STE 150B,"FRUITLAND, ID 83619"
US ARMY FREEDOM CROSSING PX PHARMACY,BLDG 1611 HAAN RD STE A11,,"FT BLISS, TX 79906"
US ARMY- EAST BLISS HDC PHARMACY,BLDG 21227 TORCH ST,,"FT BLISS, TX 79916"
US ARMY- SOLDIER FAMILY CARE CLINIC PHARMACY,BLDG 11335 SSG SIMS ST,,"FT BLISS, TX 79916"
US ARMY- EVANS COMMUNITY HOSPITAL,"1650 COCHRANE CIRCLE, BLDG 7500","ATTN: PHARMACY, ROOM 213","FT CARSON, CO 80913"
WALGREEN CO.,2355 NE 26TH STREET,,"FT LAUDERDALE, FL 33305"
AIDS HEALTHCARE FOUNDATION,6405 N. FEDERAL HIGHWAY,#205,"FT LAUDERDALE, FL 33308"
AIDS HEALTHCARE FOUNDATION,700 SE 3RD AVENUE,SUITE 100,"FT LAUDERDALE, FL 33316"
US ARMY - MUNSON  HEALTH CENTER,PHARMACY SERVICES,550 POPE AVE,"FT LEAVENWORTH, KS 66027"
WALGREEN CO.,12749 S. CLEVELAND AVENUE,,"FT MYERS, FL 33907"
US ARMY- LYSTER HOSPITAL,DEPARTMENT OF PHARMACY,BLDG 301 ANDREWS AVE.,"FT RUCKER, AL 36362"
WALGREEN CO.,6202 WEST JEFFERSON BLVD,,"FT WAYNE, IN 46804"
WALGREEN CO.,6201 STELLHORN ROAD,,"FT WAYNE, IN 46815"
WALGREEN CO.,6205 WESTCREEK DR.,,"FT WORTH, TX 76133"
US ARMY- CARL R DARNALL MEDICAL CENTER,BLDG 36065 SANTA FE AVENUE,,"FT. HOOD, TX 76544"
WALGREEN CO.,1826 W ORANGETHORPE AVE,,"FULLERTON, CA 92833"
RX CARE 13 LLC,305 N JUDD PKWY,,"FUQUAY VARINA, NC 27526"
WALGREEN CO.,1401 N MAIN STREET,,"FUQUAY VARINA, NC 27526"
"ANDERSON-SCOKELEE, INC",5001 NW 34TH BLVD SUITE B,,"GAINESVILLE, FL 32605"
WALGREEN CO.,7520 W NEWBERRY ROAD,,"GAINESVILLE, FL 32606"
RIVERSIDE PHARMACY,935 GREEN ST,,"GAINESVILLE, GA 30501"
ST MARY'S MEDICAL CENTER,3333 N SEMINARY,,"GALESBURG, IL 61401"
CUREXA,236 E JIMMIE LEEDS ROAD,SUITE C,"GALLOWAY, NJ 08205"
US PUBLIC HEALTH SERVICE,516 EAST NIZHONI BLVD,PO BOX 1337,"GALLUP, NM 87301"
JEROLD PHELPS COMMUNITY HOSP,733 CEDAR STREET,,"GARBERVILLE, CA 95542"
BEAR LAKE COMMUNITY HEALTH CENTER PHARMACY,325 WEST LOGAN HIGHWAY,P. O. BOX 328,"GARDEN CITY, UT 84028"
WALGREEN CO.,1344 W REDONDO BEACH BLVD,,"GARDENA, CA 90247"
KAISER PERMANENTE PHARMACY #120,18600 S. FIGUEROA ST,FL 1,"GARDENA, CA 90248"
KAISER FOUNDATION HEALTH PLAN,KASIER PERMANENTE PHARMACY 108,15446 WESTERN AVENUE,"GARDENA, CA 90249"
"CVS PHARMACY, INC.",314 MAIN STREET,,"GARDNER, MA 01440"
WASHOE BARTON MEDICAL CLINIC,1107 HIGHWAY 395,,"GARDNERVILLE, NV 89410"
SUNDANCE HOSPITAL DALLAS,"2696 W WALNUT ST, ATTN: PHARMACY DEPT",,"GARLAND, TX 75042"
INSTITUTIONAL PHARMACY SOLUTIONS,3200 WATERFIELD ROAD,,"GARNER, NC 27529"
WALGREEN CO.,2500 GRANT ST,,"GARY, IN 46404"
HIGHLAND HEALTH CENTER PHARMACY,609 N. HIGHLAND STREET,,"GASTONIA, NC 28052"
SENIOR TOTAL LIFE CARE,1875 REMOUNT ROAD,,"GASTONIA, NC 28054"
VORAC PHARMACY LLC,114 S. STATE ST.,,"GENESEO, IL 61254"
HERITAGE VILLAGE REHAB AND SKILLED NURSING INC,4600 RT 60,PO BOX 350,"GERRY, NY 14740"
"COSTLESS SENIOR SERVICES, INC",14216 92ND AVE NW SUITE B,,"GIG HARBOR, WA 98329"
WASHINGTON CORRECTIONS CENTER,FOR WOMEN,9601 BUJACICH RD NW,"GIG HARBOR, WA 98332"
WALGREEN ARIZONA DRUG CO.,785 S. COOPER ROAD,,"GILBERT, AZ 85233"
BANNER FAMILY PHARMACY - MD ANDERSON,2946 E BANNER GATEWAY DRIVE,,"GILBERT, AZ 85234"
BANNER FAMILY PHARMACY - GATEWAY,1900 N HIGLEY RD,,"GILBERT, AZ 85234"
WALGREEN ARIZONA DRUG CO.,4766 E QUEEN CREEK RD,,"GILBERT, AZ 85297"
SOUTH VALLEY PHARMACY SERVICES,7496 EIGLEBERRY ST.,,"GILROY, CA 95020"
KAISER FOUNDATION HEALTH PLAN,KFHP MAIN PHARMACY #752,7520 ARROYO CIRCLE,"GILROY, CA 95020"
GILROY MEDICAL PHARMACY,700 W 6TH ST #G,,"GILROY, CA 95020"
WALGREEN CO.,770 1ST ST,,"GILROY, CA 95020"
MEDICAL PAVILION PHARMACY,9460 NO NAME UNO #100,,"GILROY, CA 95020"
GLADWYNE PHARMACY,352 RIGHTERS MILL RD,,"GLADWYNE, PA 19035"
HI-LINE MEDICAL SERVICES INC,621 THIRD STREET SOUTH,,"GLASGOW, MT 59230"
WALGREEN CO.,324 ROOSEVELT ROAD,,"GLEN ELLYN, IL 60137"
"WALGREEN EASTERN CO., INC.",150 N MACDADE BLVD.,,"GLENOLDEN, PA 19036"
SHOPKO PHARMACY #2686,902 S LOCUST ST,,"GLENWOOD, IA 51534"
"WALGREEN EASTERN CO., INC.",201 MAIN STREET,,"GLOUCESTER, MA 01930"
"YANTIS ENTERPRISES, INC",29670 ELLENSBURG AVE,,"GOLD BEACH, OR 97444"
KLICKITAT VALLEY HOSPITAL,310 SOUTH ROOSEVELT,,"GOLDENDALE, WA 98620"
