,address,postal,state,city,geo,newURL,googleMapsUrl
3399,17609 VENTURA BLVD #LL06,91316,CA, ENCINO,"-118.516655,34.161938",,http://maps.google.com/maps?q=GZ%20SERVICES%20INC%2C17609%20VENTURA%20BLVD%20#LL06%2C+ENCINO%2C+CA+91316
3407,2200 N. HARBOR BLVD. (NEC),92835,CA, FULLERTON,,"https://www.google.com/maps/place/CVS/@33.9070605,-117.9397932,15z/data=!4m8!1m2!2m1!1sGARFIELD+BEACH+CVS+LLC,2200+N.+HARBOR+BLVD.,+FULLERTON,+CA+92835!3m4!1s0x80dd2a7ef817e96f:0xb6d699834edbb99d!8m2!3d33.8961794!4d-117.9283882","https://www.google.com/maps/place/CVS/@33.9070605,-117.9397932,15z/data=!4m8!1m2!2m1!1sGARFIELD+BEACH+CVS+LLC,2200+N.+HARBOR+BLVD.,+FULLERTON,+CA+92835!3m4!1s0x80dd2a7ef817e96f:0xb6d699834edbb99d!8m2!3d33.8961794!4d-117.9283882"
3415,3911 SOUTH BRISTOL STREET,92704,CA, SANTA ANA,"-117.88558,33.695683",,http://maps.google.com/maps?q=GARFIELD%20BEACH%20CVS%20LLC%2C3911%20SOUTH%20BRISTOL%20STREET%2C+SANTA%20ANA%2C+CA+92704
3425, SUIT B-2,94533,CA, FAIRFIELD,"-122.05267,38.2631",,http://maps.google.com/maps?q=GATEWAY%20PHARMACY%2C1330%20GATEWAY%20BLVD%2C+FAIRFIELD%2C+CA+94533
3430,103 JESSE JEWEL PARKWAY,30501,GA, GAINESVILLE,,"https://www.google.com/maps/place/CVS/@34.2967897,-83.8273136,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5f6f29b35a33b:0xc65ae43c33289091!8m2!3d34.2967897!4d-83.8251249","https://www.google.com/maps/place/CVS/@34.2967897,-83.8273136,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5f6f29b35a33b:0xc65ae43c33289091!8m2!3d34.2967897!4d-83.8251249"
3433,1541 GEORGIA HIGHWAY 20,30012,GA, CONYERS,,"https://www.google.com/maps/place/CVS/@33.6834525,-84.001785,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5b4921471b039:0x9b74e4f425576724!8m2!3d33.6834525!4d-83.9995963",http://maps.google.com/maps?q=GEORGIA%20CVS%20PHARMACY%20LLC%2C1541%20GEORGIA%20HIGHWAY%2020%2C+CONYERS%2C+GA+30012
3434,1600 TOWN LAKE PARKWAY,30189,GA, WOODSTOCK,"-84.54195,34.109974",,http://maps.google.com/maps?q=GEORGIA%20CVS%20PHARMACY%20LLC%2C1600%20TOWN%20LAKE%20PARKWAY%2C+WOODSTOCK%2C+GA+30189
3441,2902 PEACH ORCHARD ROAD,30906,GA, AUGUSTA,"-82.02275,33.418415",,http://maps.google.com/maps?q=GEORGIA%20CVS%20PHARMACY%20LLC%2C2902%20PEACH%20ORCHARD%20ROAD%2C+AUGUSTA%2C+GA+30906
3442,300 MORGAN STREET,30241,GA, LA GRANGE,"-85.0296,33.038914",,http://maps.google.com/maps?q=GEORGIA%20CVS%20PHARMACY%20LLC%2C300%20MORGAN%20STREET%2C+LA%20GRANGE%2C+GA+30241
3444,4183 HWY 278 NE,30014,GA, COVINGTON,,"https://www.google.com/maps/place/CVS/@33.586854,-83.8673224,14z/data=!4m8!1m2!2m1!1sGEORGIA+CVS+PHARMACY+LLC,4183+HWY+278+NE,+COVINGTON,+GA+30014!3m4!1s0x88f43481094682d1:0x8c9111058aca922a!8m2!3d33.6035698!4d-83.8508516","https://www.google.com/maps/place/CVS/@33.586854,-83.8673224,14z/data=!4m8!1m2!2m1!1sGEORGIA+CVS+PHARMACY+LLC,4183+HWY+278+NE,+COVINGTON,+GA+30014!3m4!1s0x88f43481094682d1:0x8c9111058aca922a!8m2!3d33.6035698!4d-83.8508516"
3445,4717-C E HWY 80,31410,GA, SAVANNAH,"-81.00772,32.043613",,http://maps.google.com/maps?q=GEORGIA%20CVS%20PHARMACY%20LLC%2C4717-C%20E%20HWY%2080%2C+SAVANNAH%2C+GA+31410
3447,495 CHARLES HARDY PKWY,30157,GA, DALLAS,,"https://www.google.com/maps/place/CVS/@33.9099314,-84.7816774,17z/data=!4m8!1m2!2m1!1sGEORGIA+CVS+PHARMACY+LLC,495+CHARLES+HARDY+PKWY,+DALLAS,+GA+30157!3m4!1s0x88f530875b1a5375:0xafc6c130baefb40a!8m2!3d33.9099738!4d-84.7794745","https://www.google.com/maps/place/CVS/@33.9099314,-84.7816774,17z/data=!4m8!1m2!2m1!1sGEORGIA+CVS+PHARMACY+LLC,495+CHARLES+HARDY+PKWY,+DALLAS,+GA+30157!3m4!1s0x88f530875b1a5375:0xafc6c130baefb40a!8m2!3d33.9099738!4d-84.7794745"
3449,736 HWY 78 WEST,30180,GA, VILLA RICA,,"https://www.google.com/maps/place/CVS/@33.7298168,-84.94309,17z/data=!3m1!4b1!4m5!3m4!1s0x888ad52f225d64f7:0x861289dd6f515a36!8m2!3d33.7298168!4d-84.9409013",http://maps.google.com/maps?q=GEORGIA%20CVS%20PHARMACY%20LLC%2C736%20HWY%2078%20WEST%2C+VILLA%20RICA%2C+GA+30180
3451, SW,30310,GA, ATLANTA,,"https://www.google.com/maps/place/CVS/@33.7465148,-84.42203,14z/data=!4m8!1m2!2m1!1sGEORGIA+CVS+PHARMACY+LLC,895+RALPH+ABERNATHY+BLVD.,+SW,+ATLANTA,+GA+30310!3m4!1s0x88f5034002df7537:0xc13a68c6f4e5c309!8m2!3d33.7382945!4d-84.4174098","https://www.google.com/maps/place/CVS/@33.7465148,-84.42203,14z/data=!4m8!1m2!2m1!1sGEORGIA+CVS+PHARMACY+LLC,895+RALPH+ABERNATHY+BLVD.,+SW,+ATLANTA,+GA+30310!3m4!1s0x88f5034002df7537:0xc13a68c6f4e5c309!8m2!3d33.7382945!4d-84.4174098"
3460, P.O. BOX 1179,85939,AZ, TAYLOR,,"https://www.google.com/maps/place/CVS+Pharmacy/@34.4757623,-110.0885215,17z/data=!3m1!4b1!4m5!3m4!1s0x872f3ba01543f9df:0xa0637d25e1c786c7!8m2!3d34.4757623!4d-110.0863328",http://maps.google.com/maps?q=GERMAN%20DOBSON%20CVS%20LLC%2C718%20N%20MAIN%20ST.%2C+TAYLOR%2C+AZ+85939
3463,130 SO MAIN STREET,14904,NY, ELMIRA,"-76.80547,42.083874",,http://maps.google.com/maps?q=GEROULDS%20PROFESSIONAL%20PHARMACY%20INC%2C130%20SO%20MAIN%20STREET%2C+ELMIRA%2C+NY+14904
3466,2840 N. DYSART RD.,85395,AZ, GOODYEAR,,"https://www.google.com/maps/place/CVS/@33.4781416,-112.3440053,17z/data=!3m1!4b1!4m5!3m4!1s0x872b38a9e1d11d93:0xe0975920cc1b13b!8m2!3d33.4781416!4d-112.3418166",http://maps.google.com/maps?q=GOODYEAR%20CVS%20LLC%2C2840%20N.%20DYSART%20RD.%2C+GOODYEAR%2C+AZ+85395
3471, PO BOX 417,84525,UT, GREEN RIVER,,"https://www.google.com/maps/place/Green+River+Medical+Center/@38.9952643,-110.1681992,15z/data=!4m8!1m2!2m1!1sGREEN+RIVER+MEDICAL+CENTER,585+WEST+MAIN,+GREEN+RIVER,+UT+84525!3m4!1s0x8748fa988978a379:0x66447cf92ec7844b!8m2!3d38.9949308!4d-110.1698834","https://www.google.com/maps/place/Green+River+Medical+Center/@38.9952643,-110.1681992,15z/data=!4m8!1m2!2m1!1sGREEN+RIVER+MEDICAL+CENTER,585+WEST+MAIN,+GREEN+RIVER,+UT+84525!3m4!1s0x8748fa988978a379:0x66447cf92ec7844b!8m2!3d38.9949308!4d-110.1698834"
3473,100 W 16TH,67045,KS, EUREKA,"-96.29421,37.835365",,http://maps.google.com/maps?q=GREENWOOD%20COUNTY%20HOSPITAL%2C100%20W%2016TH%2C+EUREKA%2C+KS+67045
3474, SUITE 160,32256,FL, JACKSONVILLE,"-81.57931,30.242144",,http://maps.google.com/maps?q=GUARDIAN%20PHARMACY%20OF%20JACKSONVILLE%2C8001%20BELFORT%20PKWY%2C+JACKSONVILLE%2C+FL+32256
3475, STE A,76301,TX, WICHITA FALLS,"-98.50221,33.904694",,http://maps.google.com/maps?q=GUFFEYS%20DRUG%20STORE%2C1610%209TH%20STREET%2C%20STE%20A%2C+WICHITA%20FALLS%2C+TX+76301
3477, 1710 FAULKLAND ROAD,19805,DE, WILMINGTON,,"https://www.google.com/maps/place/Walgreens/@39.7475789,-75.6123878,19.25z/data=!4m13!1m7!3m6!1s0x89c6fde5aa756b31:0x83fc9508782522b2!2s1710+Faulkland+Rd,+Wilmington,+DE+19805!3b1!8m2!3d39.7473468!4d-75.6120033!3m4!1s0x89c6fde5918076a3:0x5e3a2a22b71cd861!8m2!3d39.7473096!4d-75.6120609","https://www.google.com/maps/place/Walgreens/@39.7475789,-75.6123878,19.25z/data=!4m13!1m7!3m6!1s0x89c6fde5aa756b31:0x83fc9508782522b2!2s1710+Faulkland+Rd,+Wilmington,+DE+19805!3b1!8m2!3d39.7473468!4d-75.6120033!3m4!1s0x89c6fde5918076a3:0x5e3a2a22b71cd861!8m2!3d39.7473096!4d-75.6120609"
3478, 216 SUBURBAN DRIVE,19711,DE, NEWARK,,"https://www.google.com/maps/place/Walgreens/@39.6685515,-75.7788115,17z/data=!3m1!4b1!4m5!3m4!1s0x89c7a9640e44fcd1:0x141fa9ac9e9753e5!8m2!3d39.6685515!4d-75.7766228","https://www.google.com/maps/place/Walgreens/@39.6685515,-75.7788115,17z/data=!3m1!4b1!4m5!3m4!1s0x89c7a9640e44fcd1:0x141fa9ac9e9753e5!8m2!3d39.6685515!4d-75.7766228"
3481,39 W. TENTH STREET,95376,CA, TRACY,"-121.42656,37.73852",,http://maps.google.com/maps?q=HAROLD%20K%20REICHS%20PHARMACY%2C39%20W.%20TENTH%20STREET%2C+TRACY%2C+CA+95376
3483, P O BOX 1491,28075,NC, HARRISBURG,"-80.65899,35.32136",,http://maps.google.com/maps?q=HARRISBURGS%20HOMETOWN%20PHARMACY%2C5006%20HIGHWAY%2049%20SOUTH%2C+HARRISBURG%2C+NC+28075
3484, 200 FIRST STREET EAST,50644,IA, INDEPENDENCE,,"https://www.google.com/maps/place/Hartig+Drug/@42.468968,-91.8950566,17z/data=!4m13!1m7!3m6!1s0x87e52be8ff1acc19:0xc7fd5a4f43c18a83!2s200+1st+St+E,+Independence,+IA+50644!3b1!8m2!3d42.4689641!4d-91.8928679!3m4!1s0x87e52be8f9521a99:0x122279274145f6a4!8m2!3d42.4687503!4d-91.8932693","https://www.google.com/maps/place/Hartig+Drug/@42.468968,-91.8950566,17z/data=!4m13!1m7!3m6!1s0x87e52be8ff1acc19:0xc7fd5a4f43c18a83!2s200+1st+St+E,+Independence,+IA+50644!3b1!8m2!3d42.4689641!4d-91.8928679!3m4!1s0x87e52be8f9521a99:0x122279274145f6a4!8m2!3d42.4687503!4d-91.8932693"
3486,715 8TH STREET SO.,55404,MN, MINNEAPOLIS,,"https://www.google.com/maps/place/Hennepin+County+Medical+Center/@44.972261,-93.2646432,17z/data=!4m8!1m2!2m1!1sHCMC+CSC+PHARMACY,715+8TH+STREET+SO.,+MINNEAPOLIS,+MN+55404!3m4!1s0x52b332a027a55305:0xbe42a9cd664c7aff!8m2!3d44.972261!4d-93.2624545","https://www.google.com/maps/place/Hennepin+County+Medical+Center/@44.972261,-93.2646432,17z/data=!4m8!1m2!2m1!1sHCMC+CSC+PHARMACY,715+8TH+STREET+SO.,+MINNEAPOLIS,+MN+55404!3m4!1s0x52b332a027a55305:0xbe42a9cd664c7aff!8m2!3d44.972261!4d-93.2624545"
3488, 1ST FLOOR,18301,PA, EAST STROUDSBURG,"-75.174286,40.992275",,http://maps.google.com/maps?q=HEALTH%20SPECTRUM%20PHARMACY%20SERVICES%20POCONO%2C206%20E.%20BROWN%20ST.%2C+EAST%20STROUDSBURG%2C+PA+18301
3489,SUITE F,72206,AR, LITTLE ROCK,"-92.31977,34.61114",,http://maps.google.com/maps?q=HEALTHCARE%20PHARMACY%2C3401%20ATWOOD%20RD.%2CSUITE%20F%2C+LITTLE%20ROCK%2C+AR+72206
3490, 3930 NORTHWOODS DRIVE,55112,MN, ARDEN HILLS,,"https://www.google.com/maps/place/HealthPartners+Pharmacy/@45.0596868,-93.1534309,17z/data=!3m1!4b1!4m5!3m4!1s0x52b32908775510af:0x44fbd87f82ccd13!8m2!3d45.0596868!4d-93.1512422",http://maps.google.com/maps?q=HEALTHPARTNERS%20ARDEN%20HILLS%2CPHARMACY%2C+ARDEN%20HILLS%2C+MN+55112
3491, 8600 NICOLLET AVENUE,55420,MN, BLOOMINGTON,,"https://www.google.com/maps/place/HealthPartners+Clinic+Bloomington/@44.8438606,-93.3466619,12z/data=!4m8!1m2!2m1!1sHEALTHPARTNERS+BLOOMINGTON,PHARMACY,+BLOOMINGTON,+MN+55420!3m4!1s0x87f625a25caabb23:0x4a72d58b41e0ea85!8m2!3d44.8474178!4d-93.2791329","https://www.google.com/maps/place/HealthPartners+Clinic+Bloomington/@44.8438606,-93.3466619,12z/data=!4m8!1m2!2m1!1sHEALTHPARTNERS+BLOOMINGTON,PHARMACY,+BLOOMINGTON,+MN+55420!3m4!1s0x87f625a25caabb23:0x4a72d58b41e0ea85!8m2!3d44.8474178!4d-93.2791329"
3492, 11475 ROBINSON DRIVE NW,55433,MN, COON RAPIDS,,"https://www.google.com/maps/place/HealthPartners+Clinic+Coon+Rapids/@45.1797056,-93.3141807,17z/data=!3m1!4b1!4m5!3m4!1s0x52b33c9c5a856d9f:0xcf09d9ec087e0172!8m2!3d45.1797056!4d-93.311992",http://maps.google.com/maps?q=HEALTHPARTNERS%20COON%20RAPIDS%2CPHARMACY%2C+COON%20RAPIDS%2C+MN+55433
3494,2220 RIVERSIDE AVENUE SOUTH,55454,MN, MINNEAPOLIS,"-93.24069,44.96745",,http://maps.google.com/maps?q=HEALTHPARTNERS%20RIVERSIDE%20PHAR%2C2220%20RIVERSIDE%20AVENUE%20SOUTH%2C+MINNEAPOLIS%2C+MN+55454
3495, SUITE 100,55416,MN, ST LOUIS PARK,"-93.34541,44.965466",,http://maps.google.com/maps?q=HEALTHPARTNERS%20WEST%20PHARMACY%2C5100%20GAMBLE%20DRIVE%2C+ST%20LOUIS%20PARK%2C+MN+55416
3496,1430 HIGHWAY 96,55110,MN, WHITE BEAR LAKE,"-93.0393,45.07918",,http://maps.google.com/maps?q=HEALTHPARTNERS%20WHITE%20BEAR%2C1430%20HIGHWAY%2096%2C+WHITE%20BEAR%20LAKE%2C+MN+55110
3499, SUITE #110,48236,MI, GROSSE POINTE FARMS,"-82.90186,42.396164",,http://maps.google.com/maps?q=HENRY%20FORD%20MEDICAL%20CENTER%2C131%20KERCHEVAL%2C+GROSSE%20POINTE%20FARMS%2C+MI+48236
3500, 2799 W. GRAND BLVD.,48202,MI, DETROIT,,"https://www.google.com/maps/place/Henry+Ford+Pharmacy+-+Henry+Ford+Hospital/@42.3669921,-83.0848224,16z/data=!4m8!1m2!2m1!1sHENRY+FORD+MEDICAL+CENTER,K-15+PHARMACY,+DETROIT,+MI+48202!3m4!1s0x8824cd641cee99a3:0x4b6fbce893e58a0b!8m2!3d42.3676805!4d-83.0845188","https://www.google.com/maps/place/Henry+Ford+Pharmacy+-+Henry+Ford+Hospital/@42.3669921,-83.0848224,16z/data=!4m8!1m2!2m1!1sHENRY+FORD+MEDICAL+CENTER,K-15+PHARMACY,+DETROIT,+MI+48202!3m4!1s0x8824cd641cee99a3:0x4b6fbce893e58a0b!8m2!3d42.3676805!4d-83.0845188"
3501, 1411 EAST 31ST STREET,94602,CA, OAKLAND,,"https://www.google.com/maps/place/Alameda+Health+System/@37.7985461,-122.2338896,17z/data=!4m8!1m2!2m1!1sHIGHLAND+GENERAL+HOSPITAL,OUTPATIENT+PHARMACY,+OAKLAND,+CA+94602!3m4!1s0x808f871b2a3a61d7:0x5a682372f45dd2a6!8m2!3d37.7983737!4d-122.2313895","https://www.google.com/maps/place/Alameda+Health+System/@37.7985461,-122.2338896,17z/data=!4m8!1m2!2m1!1sHIGHLAND+GENERAL+HOSPITAL,OUTPATIENT+PHARMACY,+OAKLAND,+CA+94602!3m4!1s0x808f871b2a3a61d7:0x5a682372f45dd2a6!8m2!3d37.7983737!4d-122.2313895"
3502,1004 SHOOTING PARK,61354,IL, PERU,"-89.11756,41.338535",,http://maps.google.com/maps?q=HIGHLAND%20PARK%20CVS%20LLC%2C1004%20SHOOTING%20PARK%2C+PERU%2C+IL+61354
3507,1305 RANDALL RD.,60014,IL, CRYSTAL LAKE,,"https://www.google.com/maps/place/CVS/@42.2051337,-88.3378774,17z/data=!4m8!1m2!2m1!1sHIGHLAND+PARK+CVS+LLC,1305+RANDALL+RD.,+CRYSTAL+LAKE,+IL+60014!3m4!1s0x880f128f256c36ab:0xf3394b14d03e8caa!8m2!3d42.2051376!4d-88.3356574","https://www.google.com/maps/place/CVS/@42.2051337,-88.3378774,17z/data=!4m8!1m2!2m1!1sHIGHLAND+PARK+CVS+LLC,1305+RANDALL+RD.,+CRYSTAL+LAKE,+IL+60014!3m4!1s0x880f128f256c36ab:0xf3394b14d03e8caa!8m2!3d42.2051376!4d-88.3356574"
3513,207 W. JORDAN ST,62448,IL, NEWTON,"-88.16278,38.99093",,http://maps.google.com/maps?q=HIGHLAND%20PARK%20CVS%20LLC%2C207%20W.%20JORDAN%20ST%2C+NEWTON%2C+IL+62448
3514,230 S COMET DR.,60408,IL, BRAIDWOOD,"-88.20774,41.25958",,http://maps.google.com/maps?q=HIGHLAND%20PARK%20CVS%20LLC%2C230%20S%20COMET%20DR.%2C+BRAIDWOOD%2C+IL+60408
3522,47 S. LOCUST ST.,60950,IL, MANTENO,"-87.83336,41.247673",,http://maps.google.com/maps?q=HIGHLAND%20PARK%20CVS%20LLC%2C47%20S.%20LOCUST%20ST.%2C+MANTENO%2C+IL+60950
3529,1800 E. HWY 50,34711,FL, CLERMONT,,"https://www.google.com/maps/place/CVS/@28.5476164,-81.7249359,17z/data=!3m1!4b1!4m5!3m4!1s0x88e78f1014564259:0x309423519db5e15c!8m2!3d28.5476164!4d-81.7227472","https://www.google.com/maps/place/CVS/@28.5476164,-81.7249359,17z/data=!3m1!4b1!4m5!3m4!1s0x88e78f1014564259:0x309423519db5e15c!8m2!3d28.5476164!4d-81.7227472"
3532,8603 WEST HILLSBOROUGH AVE,33615,FL, TAMPA,"-82.58042,27.996748",,http://maps.google.com/maps?q=HOLIDAY%20CVS%20LLC%2C8603%20WEST%20HILLSBOROUGH%20AVE%2C+TAMPA%2C+FL+33615
3535,1350 S HICKORY STREET,32901,FL, MELBOURNE,"-80.61354,28.087395",,http://maps.google.com/maps?q=HOLMES%20REGIONAL%20MEDICAL%20CENTER%20INC%2C1350%20%20S%20HICKORY%20STREET%2C+MELBOURNE%2C+FL+32901
3536, SUITE 102,32940,FL, MELBOURNE,,"https://www.google.com/maps/place/Viera+Sports+Medicine+%26+Orthopedic+Center,+Inc./@28.1689129,-80.7718103,12z/data=!4m8!1m2!2m1!1sHOLMES+REGIONAL+MEDICAL+CENTER+INC,8725+N+WICKHAM+RD.,+MELBOURNE,+FL+32940!3m4!1s0x88de069cd1d590c7:0xed7f79eccb6940d0!8m2!3d28.2283618!4d-80.7280117","https://www.google.com/maps/place/Viera+Sports+Medicine+%26+Orthopedic+Center,+Inc./@28.1689129,-80.7718103,12z/data=!4m8!1m2!2m1!1sHOLMES+REGIONAL+MEDICAL+CENTER+INC,8725+N+WICKHAM+RD.,+MELBOURNE,+FL+32940!3m4!1s0x88de069cd1d590c7:0xed7f79eccb6940d0!8m2!3d28.2283618!4d-80.7280117"
3539, SUITE B,93455,CA, SANTA MARIA,"-120.462105,34.915962",,http://maps.google.com/maps?q=HOMETOWN%20LTC%20PHARMACY%2C1450%20WEST%20MCCOY%20LANE%2C+SANTA%20MARIA%2C+CA+93455
3540,10 EAST 81ST AVENUE,46410,IN, MERRILLVILLE,"-87.33784,41.471073",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C10%20EAST%2081ST%20AVENUE%2C+MERRILLVILLE%2C+IN+46410
3549,1375 WEST 86TH ST.,46260,IN, INDIANAPOLIS,"-86.183464,39.912228",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C1375%20WEST%2086TH%20ST.%2C+INDIANAPOLIS%2C+IN+46260
3560,21 WEST MAIN STREET,46112,IN, BROWNSBURG,"-86.4003,39.84402",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C21%20WEST%20MAIN%20STREET%2C+BROWNSBURG%2C+IN+46112
3562,2272 NORTH MAIN ST.,46307,IN, CROWNPOINT,"-87.3647,41.434162",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C2272%20NORTH%20MAIN%20ST.%2C+CROWNPOINT%2C+IN+46307
3563,2340 W SYCAMORE,46901,IN, KOKOMO,"-86.16392,40.48776",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C2340%20W%20SYCAMORE%2C+KOKOMO%2C+IN+46901
3565,265 SO. SCATTERFIELD RD,46012,IN, ANDERSON,"-85.65293,40.114735",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C265%20SO.%20SCATTERFIELD%20RD%2C+ANDERSON%2C+IN+46012
3570,3400 N CALUMET AVE,46383,IN, VALPARAISO,"-87.042404,41.499092",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C3400%20N%20CALUMET%20AVE%2C+VALPARAISO%2C+IN+46383
3573,4480 FIRST AVE.,47710,IN, EVANSVILLE,"-87.57403,38.01968",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C4480%20FIRST%20AVE.%2C+EVANSVILLE%2C+IN+47710
3574,512 E. SEYMOUR ST.,47951,IN, KENTLAND,"-87.441185,40.767937",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C512%20E.%20SEYMOUR%20ST.%2C+KENTLAND%2C+IN+47951
3575,512 SAGAMORE PKWY WEST,47906,IN, WEST LAFAYETTE,"-86.911545,40.453182",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C512%20SAGAMORE%20PKWY%20WEST%2C+WEST%20LAFAYETTE%2C+IN+47906
3577,523 SOUTH STATE ROAD 67,46158,IN, MOORESVILLE,"-86.37222,39.604042",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C523%20SOUTH%20STATE%20ROAD%2067%2C+MOORESVILLE%2C+IN+46158
3578,5611 GEORGETOWN RD.,46254,IN, INDIANAPOLIS,"-86.24001,39.85361",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C5611%20GEORGETOWN%20RD.%2C+INDIANAPOLIS%2C+IN+46254
3580,655 S. US HIGHWAY 31,46142,IN, GREENWOOD,,"https://www.google.com/maps/place/CVS/@39.6071571,-86.1108313,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5d1ebada3dbf:0x4da76dada338fbc1!8m2!3d39.6071571!4d-86.1086426","https://www.google.com/maps/place/CVS/@39.6071571,-86.1108313,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5d1ebada3dbf:0x4da76dada338fbc1!8m2!3d39.6071571!4d-86.1086426"
3582,7722 W STATE ROUTE 66,47630,IN, NEWBURGH,,"https://www.google.com/maps/place/7722+W+State+Rte+66,+Newburgh,+IN+47630/@37.9311324,-87.3536504,17z/data=!3m1!4b1!4m8!1m2!2m1!1sHOOKSUPERX+LLC,7722+W+STATE+ROUTE+66,+NEWBURGH,+IN+47630!3m4!1s0x886fcd3ccc5e6bd7:0xf4091d3435e2eab2!8m2!3d37.9311282!4d-87.3514617","https://www.google.com/maps/place/7722+W+State+Rte+66,+Newburgh,+IN+47630/@37.9311324,-87.3536504,17z/data=!3m1!4b1!4m8!1m2!2m1!1sHOOKSUPERX+LLC,7722+W+STATE+ROUTE+66,+NEWBURGH,+IN+47630!3m4!1s0x886fcd3ccc5e6bd7:0xf4091d3435e2eab2!8m2!3d37.9311282!4d-87.3514617"
3583,7915-C SOUTH EMERSON AVE,46237,IN, INDIANAPOLIS,"-86.0827,39.653255",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C7915-C%20SOUTH%20EMERSON%20AVE%2C+INDIANAPOLIS%2C+IN+46237
3584,7990 E US HIGHWAY 36,46123,IN, AVON,"-86.39342,39.762936",,http://maps.google.com/maps?q=HOOKSUPERX%20LLC%2C7990%20E%20US%20HIGHWAY%2036%2C+AVON%2C+IN+46123
3589,600 SOUTH PINE ST,70634,LA, DE RIDDER,"-93.28905,30.85401",,http://maps.google.com/maps?q=HOSPITAL%20SERVICE%20DISTRICT%20NO%20%20OF%2C600%20SOUTH%20PINE%20ST%2C+DE%20RIDDER%2C+LA+70634
3590,1000 15TH ST N,50548,IA, HUMBOLDT,"-94.2301,42.73196",,http://maps.google.com/maps?q=HUMBOLDT%20COUNTY%20MEMORIAL%20HOSP%2C1000%2015TH%20ST%20N%2C+HUMBOLDT%2C+IA+50548
3591,2101 N WALDRON ST SUITE A,67502,KS, HUTCHINSON,"-97.894646,38.077274",,http://maps.google.com/maps?q=HUTCHINSON%20CLINIC%20PHARMACY%2C2101%20N%20WALDRON%20ST%20SUITE%20A%2C+HUTCHINSON%2C+KS+67502
3592,"2606 ""L"" AVE",52627,IA, FORT MADISON,,"https://www.google.com/maps/place/Hy-Vee+Pharmacy/@40.6257272,-91.3455188,17z/data=!3m1!4b1!4m5!3m4!1s0x87e72820a0c2d83b:0x15dd7d61d7645d64!8m2!3d40.6257272!4d-91.3433301",http://maps.google.com/maps?q=HYVEE%20PHARMACY%2C2606%20%22L%22%20AVE%2C+FORT%20MADISON%2C+IA+52627
3594,500 S. FREMONT STREET,51601,IA, SHENANDOAH,,"https://www.google.com/maps/place/Hy-Vee+Pharmacy/@40.7626198,-95.3893811,17z/data=!3m1!4b1!4m5!3m4!1s0x8794c1faf3d243ab:0x705dcbcdc03ae6be!8m2!3d40.7626198!4d-95.3871924",http://maps.google.com/maps?q=HYVEE%20PHARMACY%2C500%20S.%20FREMONT%20STREET%2C+SHENANDOAH%2C+IA+51601
3597, 505 WEST 400 NORTH,84057,UT, OREM,,"https://www.google.com/maps/place/Ihc+Health+Center+Orem/@40.3180136,-111.7293082,14z/data=!4m8!1m2!2m1!1sIHC+HEALTH+CENTER+PHARMACY,OREM,+OREM,+UT+84057!3m4!1s0x874d852b55bf5959:0xde9e532706f9bbaa!8m2!3d40.3029259!4d-111.7080868","https://www.google.com/maps/place/Ihc+Health+Center+Orem/@40.3180136,-111.7293082,14z/data=!4m8!1m2!2m1!1sIHC+HEALTH+CENTER+PHARMACY,OREM,+OREM,+UT+84057!3m4!1s0x874d852b55bf5959:0xde9e532706f9bbaa!8m2!3d40.3029259!4d-111.7080868"
3598, SUITE 204,84604,UT, PROVO,"-111.665695,40.250587",,http://maps.google.com/maps?q=IHC%20HEALTH%20SERVICES%20INC%2C395%20W%20BULLDOG%20BLVD%2C+PROVO%2C+UT+84604
3599,8326 NAAB RD,46260,IN, INDIANAPOLIS,"-86.198326,39.907608",,http://maps.google.com/maps?q=INDIANA%20HEMOPHILIATHROMBOSIS%2C8326%20NAAB%20RD%2C+INDIANAPOLIS%2C+IN+46260
3601,44045 RIVERSIDE PARKWAY,20176,VA, LEESBURG,"-77.47814,39.0771",,http://maps.google.com/maps?q=INOVA%20LOUDOUN%20HOSPITAL%2C44045%20RIVERSIDE%20PARKWAY%2C+LEESBURG%2C+VA+20176
3603, P.O.BOX 1025,95640,CA, IONE,"-120.9354,38.353645",,http://maps.google.com/maps?q=IONE%20PHARMACY%2C307%20PRESTON%20AVE%2C+IONE%2C+CA+95640
